index,id,Beer_Name,Brew_Factory_Name,Style,ABV,source,entity_id
19,982,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,5.60 %,0,1
15,2999,Point Ybel Sanibel Red Island Ale,Point Ybel Brewing Company,Irish Ale,5.60 %,1,1
24,1931,Poor Richard 's Ale,Dry Dock Brewing Co. .,American Amber / Red Ale,6.50 %,0,2
21,810,21st Amendment Poor Richards Ale,21st Amendment Brewery,Traditional Ale,7 %,1,2
35,190,Peak Organic The Maple Collaboration,Peak Organic Brewing Company,American Amber / Red Ale,7.00 %,0,3
32,805,Peak Organic The Maple Collaboration,Shipyard Brewing Company,Amber Ale,6.70 %,1,3
38,1850,Royal Amber Ale,Hops Grillhouse & Brewery,American Amber / Red Ale,4.50 %,0,4
34,742,Kalamazoo Royal Amber Ale,Bells Brewery,Amber Ale,-,1,4
39,2909,The Gentle Mongoose,Holy City Brewing,American Amber / Red Ale,6.90 %,0,5
35,1529,Holy City The Gentle Mongoose,Holy City Brewing,Amber Ale,6.90 %,1,5
44,2175,Cow Catcher Red,Mountain Town Station Brewing Co. & Steakhouse,American Amber / Red Ale,-,0,6
45,996,Mountain Town Cow Catcher Red Ale,Mountain Town Brewing Company,Amber Ale,5.80 %,1,6
61,4101,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing Company,American Barleywine,17.00 %,0,7
56,2360,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing,Barley Wine,17.50 %,1,7
66,890,Ballistic Brewing Co. - Gorgon Red Ale,Indian Wells Brewing Company,American Amber / Red Ale,5.50 %,0,8
60,2580,Ballistic Brewing Gorgon Red Ale,Indian Wells Brewing,Amber Ale,5.50 %,1,8
67,2689,Hearthstone Red Rye Ale,Hearthstone Brewery,American Amber / Red Ale,5.00 %,0,9
62,1373,Hearthstone Red Rye Ale,Hearthstone Brewery,Specialty Grain,5 %,1,9
68,1672,River Otter Ale,Union Station Brewery,American Amber / Red Ale,5.10 %,0,10
63,590,Sacramento River Otter Ale,Sacramento Brewing Company,English Pale Ale,5.50 %,1,10
71,3210,Freedom Soho Red,Freedom Brewery Ltd,American Amber / Red Ale,4.70 %,0,11
68,1737,Freedom Soho Red,Freedom,Amber Lager/Vienna,4.70 %,1,11
72,4286,Heavyweight Ticklefight Champion Of The World,Solemn Oath Brewery,American Barleywine,12.00 %,0,12
69,2362,Solemn Oath Heavyweight Ticklefight Champion of the World,Solemn Oath Brewery,Barley Wine,12 %,1,12
73,3758,Neudorf Red Ale,Brasserie Bendorf,American Amber / Red Ale,-,0,13
70,2120,Bendorf Neudorf Red Ale,Bendorf,Irish Ale,6 %,1,13
83,4003,Red 's On Vacation,Barley John 's Brew Pub,American Amber / Red Ale,5.44 %,0,14
82,2284,Barley Johns Reds on Vacation,Barley Johns Brew Pub,Amber Ale,5.44 %,1,14
84,4088,Old Cellar Dweller,Driftwood Brewery,American Barleywine,11.60 %,0,15
83,2351,Driftwood Old Cellar Dweller Barleywine,Driftwood Brewery &#40; Canada &#41;,Barley Wine,14 %,1,15
85,2606,Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,American Amber / Red Ale,4.70 %,0,16
84,1320,Sudwerk Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,Amber Ale,4.70 %,1,16
86,1460,Eldred Rock Amber,Haines Brewing Company,American Amber / Red Ale,5.00 %,0,17
85,412,Haines Eldred Rock Amber,Haines Brewing Co. .,Amber Ale,5 %,1,17
88,2362,My Hoppy Valentine,Excel Brewing Company,American Amber / Red Ale,6.50 %,0,18
87,1136,Excel My Hoppy Valentine,Excel Brewing Company,Amber Ale,6.50 %,1,18
93,386,Belle Gueule Rousse,Brasseurs R.J.,American Amber / Red Ale,5.20 %,0,19
92,2204,Belle Gueule Rousse,Brasseurs RJ,Amber Lager/Vienna,5.20 %,1,19
94,2992,Ise Kadoya Amber Ale,Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery,American Amber / Red Ale,4.50 %,0,20
93,1590,Ise Kadoya Amarillo Amber Ale,Ise Kadoya,Amber Ale,-,1,20
96,1456,Barbarian Red Ale,CervecerÃa Barbarian,American Amber / Red Ale,6.50 %,0,21
95,409,Barbarian Red Ale,CervecerÃa Barbarian,Amber Ale,6.50 %,1,21
101,3802,Oatmeal Amber Ale,Ornery Beer Company Public House,American Amber / Red Ale,5.70 %,0,22
100,2149,John Harvards Oatmeal Amber Ale,John Harvard_s Brewhouse &#40; Corporate Office &#41;,Amber Ale,6.50 %,1,22
102,1648,Rip Saw Red,Pints Brewing Co. .,American Amber / Red Ale,6.50 %,0,23
101,571,Pints Rip Saw Red,Pints Brewing Company,Amber Ale,5.90 %,1,23
108,3035,Regimental 80 Scottish Ale,Crooked Eye Brewery,American Amber / Red Ale,4.70 %,0,24
107,1620,Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Scottish Ale,4.70 %,1,24
109,1914,Dream Of The 90 's,Prohibition Pig,American Amber / Red Ale,6.10 %,0,25
108,793,Prohibition Pig Dream of the 90s,Prohibition Pig,Amber Ale,-,1,25
110,2463,Fullers Traitors ' Gate,Fuller Smith & Turner PLC,American Amber / Red Ale,4.50 %,0,26
109,1206,Fuller_s Traitor_s Gate,Fuller_s,Bitter,4.50 %,1,26
111,2289,Blarney Rock Irish Ale,Rockyard Brewing,American Amber / Red Ale,6.00 %,0,27
110,1085,Rockyard Blarney Rock Irish Ale,Rockyard Brewing Company,Irish Ale,-,1,27
114,2506,Shirt Tail Amber,Iron Hill Brewery & Restaurant,American Amber / Red Ale,4.40 %,0,28
113,1242,Iron Hill Shirt Tail Amber,Iron Hill Maple Shade,Amber Ale,4.40 %,1,28
121,4157,Fisherman 's Tea Party,Cape Ann Brewing Company,American Barleywine,9.00 %,0,29
121,2405,Cape Ann Fisherman_s Tea Party,Cape Ann Brewing Company,Barley Wine,9 %,1,29
124,1157,Insane Mane Red Ale,White Lion Brewing Company,American Amber / Red Ale,5.10 %,0,30
124,155,White Lion Insane Mane Red Ale,Ipswich Ale Brewery,Amber Ale,-,1,30
127,4237,Barrel Aged Chessie,Union Craft Brewing Company,American Barleywine,9.80 %,0,31
127,2466,Union Craft Chessie Barleywine Barrel Aged,Union Craft Brewing Company,Barley Wine,9.80 %,1,31
128,2722,Summer Session Ale,Elk Creek Cafe + Aleworks,American Amber / Red Ale,4.20 %,0,32
128,1393,Aqula Summer Session Ale,Aqula,English Pale Ale,4.50 %,1,32
132,418,Strada S. Felice,Grado Plato,American Amber / Red Ale,8.00 %,0,33
132,2441,Grado Plato Strada S. Felice,Birrificio Grado Plato,Spice/Herb/Vegetable,8 %,1,33
138,3079,Unite Red Rye Ale,The Pike Brewing Company,American Amber / Red Ale,4.60 %,0,34
136,1650,Pike Unite Red Rye Ale,Pike Brewing Company,Amber Ale,4.60 %,1,34
141,3917,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,0,35
139,2224,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,1,35
143,271,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,0,36
141,1410,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,1,36
146,1780,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,0,37
144,685,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,6.90 %,1,37
157,2558,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,0,38
156,1284,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,5.40 %,1,38
159,563,Amber Waves Ale,Capitol City Brewing,American Amber / Red Ale,5.40 %,0,39
158,1177,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,5.60 %,1,39
80,1621,Red Rocket Amber Ale,Third Base Sports Bar & Brewery,American Amber / Red Ale,6.40 %,0,40
165,548,Third Base Red Rocket Amber Ale,Third Base Sports Bar & Brewery,Amber Ale,4.60 %,1,40
167,2007,Bushfire American Red,Granite Falls Brewing Co. .,American Amber / Red Ale,5.00 %,0,41
169,203,Granite Falls Bushfire American Red Ale,Granite Falls Brewing Company,Amber Ale,5 %,1,41
172,1042,Legends Of The Bay Giant 's Tomb,Hockley Valley Brewing Co. .,American Amber / Red Ale,5.00 %,0,42
173,55,Legends of the Bay Giant_s Tomb,Hockley Valley Brewing & Malting Company,Amber Ale,5 %,1,42
125,3381,Willoughby American Amber Ale,Willoughby Brewing,American Amber / Red Ale,4.90 %,0,43
177,1859,Willoughby American Amber Ale,Willoughby Brewing Co. .,Amber Ale,5.50 %,1,43
177,1842,Heatwave Red Ale,La Quinta Brewing Co. .,American Amber / Red Ale,6.00 %,0,44
180,737,La Quinta Brewing Co. . Heatwave Red Ale,La Quinta Brewing Co. .,Amber Ale,6 %,1,44
181,4063,Thomas Hooker Old Marley Barleywine,Thomas Hooker Brewing Company,American Barleywine,10.00 %,0,45
183,2331,Thomas Hooker Old Marley Barleywine,Thomas Hooker Brewing Company,Barley Wine,10 %,1,45
182,4161,Centurion Barleywine Ale,Golden City Brewery,American Barleywine,-,0,46
106,2409,Golden City Centurion Barleywine Ale,Golden City Brewery,Barley Wine,11.20 %,1,46
183,862,Red Ale Priprioca,Cervejaria AmazÃ ´ nia Ltda .,American Amber / Red Ale,6.00 %,0,47
184,2906,Amazon Beer Priprioca Red Ale,Amazon Beer,Amber Ale,6 %,1,47
184,2242,Big Red Balls,Hillcrest Brewing Company,American Amber / Red Ale,8.00 %,0,48
185,1048,Hillcrest Big Red Balls,Hillcrest Brewing Company,Imperial IPA,8 %,1,48
191,3622,Buckleys Original Ale,Buckley 's Beers,American Amber / Red Ale,4.50 %,0,49
191,2020,Buckleys Original Ale,Yarra Flats Brewery,English Pale Ale,4.90 %,1,49
195,1522,Radeau Red Ale,Cooper 's Cave Ale Company,American Amber / Red Ale,5.50 %,0,50
194,467,Coopers Cave Radeau Red Ale,Coopers Cave Ale Company,Irish Ale,-,1,50
90,2491,5 Star Amber Ale,The Civil Life Brewing Company,American Amber / Red Ale,5.00 %,0,51
201,1230,The Civil Life Stevie_s 5 Star Amber Ale,The Civil Life Brewing Company,Amber Ale,5 %,1,51
207,1748,Rock Steady Red,The Rock Wood Fire Pizza & Brewery,American Amber / Red Ale,5.00 %,0,52
207,652,Acoustic Rock Steady Red Cider,Acoustic Brewing Company,Cider,6 %,1,52
212,2700,British Knight Scotch Red Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,7.40 %,0,53
212,1380,Oskar Blues British Knight Scotch Red Ale,Oskar Blues Brewery,Scottish Ale,7.40 %,1,53
214,3468,Red RYEding Hood,Chapman 's Brewing Company,American Amber / Red Ale,10.00 %,0,54
213,1921,Chapman_s Red RYEding Hood,Chapman_s Brewing Company,Specialty Grain,10 %,1,54
222,1030,Sierra Amber Ale,Silver Peak Restaurant & Brewery,American Amber / Red Ale,4.50 %,0,55
218,43,Chy_e Sierra Amber Ale,Zamecky Pivovar Chy_e,Amber Ale,5.30 %,1,55
225,3073,MovAmber Moustache Ale,Bull City Burger And Brewery,American Amber / Red Ale,-,0,56
221,1647,Bull City Movamber Moustache Ale,Bull City Burger and Brewery,Amber Ale,-,1,56
226,1394,Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,American Amber / Red Ale,6.00 %,0,57
222,358,Bentley Hooligan Amber Ale,Bentley Brewing Co. / Dark Horse Tavern,Amber Ale,6 %,1,57
229,2163,Bitter Orange Blossom,I & I Brewing,American Amber / Red Ale,5.30 %,0,58
224,985,I & I Bitter Orange Blossom,I & I Brewing,Amber Ale,5.30 %,1,58
78,1118,Iron Mike 's Amber Ale,Jacob Leinenkugel Brewing Company,American Amber / Red Ale,-,0,59
76,2770,Road Rash Red,Tandem Brewing Company,American Amber / Red Ale,6.00 %,0,60
200,3593,Escanaba River Amber Ale,Dead Bear Brewing Co. .,American Amber / Red Ale,5.76 %,0,61
32,3661,Double Red Hot Ale,Midnight Sun Brewing Co. .,American Amber / Red Ale,7.57 %,0,62
103,1604,Morrisons American Red Ale,Titanic Brewery,American Amber / Red Ale,4.50 %,0,63
220,4083,Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,0,64
147,1479,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,0,65
174,3959,Amber Ale With Spanish Orange,Dangerous Man Brewing,American Amber / Red Ale,6.00 %,0,66
20,3715,Kniksen India Red Ale,7 Fjell Bryggeri,American Amber / Red Ale,6.80 %,0,67
99,1926,Double Red Ale,The Seven Barrel Brewery,American Amber / Red Ale,8.20 %,0,68
28,2156,Red Dirt Imperial Red Ale,Wiley Roots Brewing Co,American Amber / Red Ale,8.20 %,0,69
213,3126,Deputation Imperial Red Ale,Brannon 's Pub and Brewery,American Amber / Red Ale,8.00 %,0,70
233,2777,Oatmeal Raisin Cookie Ale,Bluebird Microcreamery & Brewery,American Amber / Red Ale,5.90 %,0,71
193,2423,Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,-,0,72
188,319,Hoppy Face Amber Ale,Hoppy Brewing Co. .,American Amber / Red Ale,6.10 %,0,73
140,492,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,0,74
2,1587,Arthur 's Imperial Red Ale,Otto 's Pub and Brewery,American Amber / Red Ale,6.90 %,0,75
55,3605,Constanza _ ™ s Hoppy Red Ale,Bomber Brewing,American Amber / Red Ale,6.20 %,0,76
197,2930,Big Red Hoppy Barn,Westfield River Brewing Company,American Amber / Red Ale,9.50 %,0,77
46,1857,Ruby River Ruby Red Ale,Ruby River Steakhouse & Brewery,American Amber / Red Ale,4.00 %,0,78
206,1322,The Live Bait Amber Ale,Mudhook Brewing Company,American Amber / Red Ale,6.00 %,0,79
131,512,Hawai'i Nui Sunset Amber Ale,Hawai'i Nui Brewing / Mehana Brewing Company,American Amber / Red Ale,5.45 %,0,80
228,4152,Bourbon Barrel Aged Behemoth With Cherries,3 Floyds Brewing Co. .,American Barleywine,12.50 %,0,81
151,4068,Pike Old Bawdy Barley Wine,The Pike Brewing Company,American Barleywine,9.90 %,0,82
91,1661,Barrel Aged Imperial Red,Hale 's Ales Brewery & Pub,American Amber / Red Ale,9.00 %,0,83
170,2215,Rabbit Mountain Red Ale,300 Suns Brewing,American Amber / Red Ale,6.80 %,0,84
5,138,Double Dread Imperial Red Ale,Mad River Brewing Company,American Amber / Red Ale,8.60 %,0,85
36,4162,John Barleycorn - Bourbon Barrel Aged,Mad River Brewing Company,American Barleywine,12.50 %,0,86
113,284,Great Lakes Independence Ale,Great Lakes Brewing Co. .,American Amber / Red Ale,6.00 %,0,87
150,3,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,0,88
154,309,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,0,89
208,1743,Red 's Heaven 15th Anniversary Imperial Red Ale,Flying Bison Brewing Company,American Amber / Red Ale,8.30 %,0,90
224,925,Creeper Trail Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,4.80 %,0,91
235,1713,Rabbit Punch Irish Red Ale,Ram Restaurant & Brewery,American Amber / Red Ale,5.70 %,0,92
97,4329,Barrel Aged Series : Barley Wine,Parallel 49 Brewing Company,American Barleywine,11.80 %,0,93
81,3248,The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 %,0,94
4,3402,Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,0,95
49,773,Barrel Aged Moustache Ride Red,Flat 12 Bierwerks,American Amber / Red Ale,6.10 %,0,96
65,4216,Noggin Floggin ( Bourbon Barrel Aged ),Hopworks Urban Brewery,American Barleywine,9.60 %,0,97
145,1024,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,0,98
161,1251,Big Red Ale,Red Car Brewery and Restaurant,American Amber / Red Ale,5.70 %,0,99
25,704,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,0,100
126,1375,Clifford The Big Red Ale,Books & Brews,American Amber / Red Ale,6.80 %,0,101
16,1794,Stupiphany Imperial Red Ale,Rusty Truck Brewing Company / Roadhouse 101,American Amber / Red Ale,8.00 %,0,102
33,1185,Dread Double Red Ale,Bullfrog Brewery,American Amber / Red Ale,7.80 %,0,103
89,906,Big Horn Buttface Amber Ale,C.B. & Potts,American Amber / Red Ale,-,0,104
130,654,O'Connor 's Irish Red Ale,Wormtown Brewery,American Amber / Red Ale,5.00 %,0,105
171,2494,Easy Amber Ale,Scottsdale Beer Company,American Amber / Red Ale,5.70 %,0,106
153,2572,Red Rock Opie Red Ale,Red Rock Brewing Company,American Amber / Red Ale,4.00 %,0,107
13,3963,Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,0,108
23,1524,Barrel Aged Red Ale,BearWaters Brewing Co. .,American Amber / Red Ale,6.70 %,0,109
148,184,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,0,110
77,3417,Pizza Orgasmica Amber Ale,Devil 's Canyon Brewing Company,American Amber / Red Ale,6.50 %,0,111
43,1207,All American Red Ale,Centennial Beer Co. .,American Amber / Red Ale,5.00 %,0,112
142,2155,Clifford 's Big Red Ale,Funky Buddha Brewery,American Amber / Red Ale,9.70 %,0,113
50,833,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,0,114
227,3652,Commander Clifford _ ™ s Imperial Red Ale,The Wrecking Bar Brewpub,American Amber / Red Ale,9.00 %,0,115
122,42,Kingpin Double Red Ale,BridgePort Brewing Co. / Brewpub,American Amber / Red Ale,7.50 %,0,116
234,355,Premium Red Ale,Uehara Shuzou Co. Ltd. / Echigo Beer Pub,American Amber / Red Ale,6.00 %,0,117
54,3134,Phobos Single Hop Red Ale,Ecliptic Brewing,American Amber / Red Ale,7.40 %,0,118
52,696,BJ 's Imperial Red Ale,BJ 's Restaurant & Brewhouse,American Amber / Red Ale,9.00 %,0,119
1,2433,Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,American Amber / Red Ale,8.90 %,0,120
62,2602,Broadhead Bourbon Barrel Aged Red,Bainbridge Island Brewing Company,American Amber / Red Ale,8.50 %,0,121
175,2316,Brew Kahuna NW Red Ale,Sky High Brewing,American Amber / Red Ale,5.20 %,0,122
211,4173,AmEn ! Barleywine - Barrel Aged,Cahoots Brewing,American Barleywine,11.10 %,0,123
10,2934,Ale Mania Imperial Red Ale,Ale-Mania,American Amber / Red Ale,9.50 %,0,124
165,4181,Inception Series - Runnin ' With The Devil,Nebraska Brewing Company,American Barleywine,11.90 %,0,125
7,3325,Roundabout Imperial Red Ale,Bonfire Brewing Co. .,American Amber / Red Ale,8.80 %,0,126
216,4050,Oak-Aged Backburner ( Imperial Barley Wine Style Ale ),Southern Tier Brewing Company,American Barleywine,9.60 %,0,127
47,3388,Stone Liberty Station Outbreak Series : Red Ale,Stone Brewing Co. .,American Amber / Red Ale,7.00 %,0,128
210,2975,Rock River Red Ale,Berghoff Brewery,American Amber / Red Ale,-,0,129
92,1436,Mountian Goat Rare Breed India Red Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,6.60 %,0,130
186,3818,Alpine Mountain Amber Ale,Beer By Design,American Amber / Red Ale,5.90 %,0,131
173,4027,Lower De Boom Barleywine,21st Amendment Brewery,American Barleywine,11.50 %,0,132
8,2047,Merry Prankster Imperial Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,4.56 %,0,133
30,2718,Extra Special Red Ale,Alpha Brewing Company,American Amber / Red Ale,5.00 %,0,134
106,429,Simeon Jones River Valley Amber Ale,Picaroons Brewing Co. .,American Amber / Red Ale,4.50 %,0,135
27,1880,Big Axe Red Ale,Big Axe Brewing Company,American Amber / Red Ale,6.80 %,0,136
22,3246,Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,-,0,137
201,1060,46 Star Oklahoma Amber Ale,Bricktown Brewery,American Amber / Red Ale,-,0,138
14,1755,Batch 200 _ `` Olympus Mons Imperial Red Ale,Due South Brewing Co. .,American Amber / Red Ale,9.20 %,0,139
100,2399,Barrel Aged Riverside Red,Intuition Ale Works,American Amber / Red Ale,7.80 %,0,140
236,4336,Old Blarney Barleywine - Bourbon Barrel Aged,Moylan 's Brewery,American Barleywine,10.00 %,0,141
41,2972,Imperial Moustache Red Ale,Salty Nut Brewery,American Amber / Red Ale,6.00 %,0,142
63,1219,Bulleit Bourbon Barrel Aged G'Knight,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,0,143
231,2320,Fire Brew Red Ale,Minhas Craft Brewery,American Amber / Red Ale,5.50 %,0,144
185,496,Mountain Goat Fancy Pants Amber Ale,Mountain Goat Beer Pty Ltd,American Amber / Red Ale,5.40 %,0,145
162,113,Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %,0,146
64,4256,Frost Quake Bourbon Barrel Aged Barley Wine,Wellington County Brewery,American Barleywine,9.80 %,0,147
196,3748,Monkey King Amber Ale,Moonzen Brewery,American Amber / Red Ale,5.00 %,0,148
69,2086,Old Cascade Amber Ale,Roosterfish Brewing Co. .,American Amber / Red Ale,5.50 %,0,149
0,2082,C N Red Imperial Red Ale,Redwood Lodge,American Amber / Red Ale,8.10 %,0,150
133,1599,Sea Spray Amber Ale,Bowen Island Brewing Co. Ltd. .,American Amber / Red Ale,5.00 %,0,151
104,2960,Sequoia American Amber Ale,Wig And Pen,American Amber / Red Ale,5.90 %,0,152
164,1900,Main Street Amber Ale,Fifty West Brewing Co,American Amber / Red Ale,4.60 %,0,153
160,1904,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,0,154
155,200,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.60 %,0,155
95,1433,Molly American Red Ale,New Helvetia Brewing Company,American Amber / Red Ale,5.00 %,0,156
112,1501,Big Bear Amber Ale,Stewart 's Brewing Co. .,American Amber / Red Ale,5.60 %,0,157
118,1218,Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,0,158
205,99,Alaskan Imperial Red Ale ( Pilot Series ),Alaskan Brewing Co. .,American Amber / Red Ale,8.50 %,0,159
117,3842,Red Headed Slut Amber Ale,Twisted K-8 Brewing Company,American Amber / Red Ale,6.50 %,0,160
163,2596,Brass Ale Honey Amber,Great Storm Brewing Co. .,American Amber / Red Ale,5.30 %,0,161
223,1972,S : t Eriks Unite Red Ale,S : t Eriks Bryggeri,American Amber / Red Ale,4.60 %,0,162
82,736,North 45 Amber Ale,Petoskey Brewing Company,American Amber / Red Ale,5.80 %,0,163
17,3478,Double Mongrel Imperial India Red Ale,Aspetuck Brew Lab,American Amber / Red Ale,9.00 %,0,164
40,29,Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,0,165
221,3533,Wobbly Red Ale,Dirty Hands Brewing Company,American Amber / Red Ale,5.90 %,0,166
166,4168,Elevator Barrel Aged Barley Wine ( Bar Bar ),Elevator Brewery & Draught Haus,American Barleywine,11.00 %,0,167
107,1647,Wasatch 50th Park City Golden Anniversary Ale,Utah Brewers Cooperative,American Amber / Red Ale,4.00 %,0,168
6,491,West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale ),West Sixth Brewing Company,American Amber / Red Ale,13.00 %,0,169
51,4117,Old Guardian Barley Wine Style Ale - Red Wine Barrel Aged,Stone Brewing Co. .,American Barleywine,11.20 %,0,170
156,2633,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,6.00 %,0,171
136,4304,Isle Of Pines Barley Wine,Flying Goose Brew Pub & Grille,American Barleywine,11.00 %,0,172
168,2444,Buck And Ball Double Amber Ale,Natty Greene 's Pub & Brewing Co. .,American Amber / Red Ale,6.80 %,0,173
120,4030,Alaskan Barley Wine ( Pilot Series ),Alaskan Brewing Co. .,American Barleywine,10.70 %,0,174
59,4200,Bourbon Barrel Aged Auld Bitch,Tahoe Mountain Brewing Co. .,American Barleywine,11.00 %,0,175
53,3626,Starlord 's Mixtape / Groot Drank Imperial Red Ale,Charging Hippo Brewing Co. .,American Amber / Red Ale,8.20 %,0,176
199,1237,Crater Lake Amber Ale,Klamath Basin Brewing Co. - The Creamery Brew Pub And Grill,American Amber / Red Ale,6.00 %,0,177
232,1491,Fresh Hopped Harvest Ale,Big Al Brewing,American Amber / Red Ale,-,0,178
203,674,Boundary Bay Amber Ale,Boundary Bay Brewery & Bistro,American Amber / Red Ale,-,0,179
60,2365,Bourbon Barrel Aged Redrum,Trinity Brewhouse,American Amber / Red Ale,9.50 %,0,180
21,2979,Street Cred India Rye Red Ale,Roaring Fork Beer Company,American Amber / Red Ale,7.20 %,0,181
9,178,6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Kern River Brewing Company,American Amber / Red Ale,8.00 %,0,182
3,1458,Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Amber / Red Ale,8.60 %,0,183
