ltable_id,rtable_id,label,left_id,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_id,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released,id
1409,51560,0,1409,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic 2015 Interscope Records 6:30",,,,$ 1.29,,,18-May-15,51560,Transmission [ feat . X Ambassadors ] Dance & Electronic $ 1.29 ( C ) 2015 Interscope Records 4:02,Zedd,True Colors,,,,,"May 18 , 2015",1
1289,34035,0,1289,"I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) Dance , Music , Rock , House , Electronic 26-Aug-11",David Guetta,Nothing But the Beat,,$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,,34035,"I Can Only Imagine ( feat . Chris Brown & Lil Wayne ) David Guetta Dance & Electronic 2015 Real Sounds 3:29 August 26 , 2011",,Nothing But the Beat 2.0 [ Explicit ],,$ 0.99,,,,2
2666,35475,1,2666,Silver and Gold 3:33,Little Big Town,Pain Killer,"Country , Music , Honky Tonk , Contemporary Country",$ 1.29,"2014 Little Big Town , LLC Under exclusive license to Capitol Records Nashville",,21-Oct-14,35475,Silver And Gold Little Big Town Country ( C ) 2014 Little Big Town LLC Under exclusive license to Capitol Records Nashville 3:31,,Pain Killer,,$ 1.29,,,"October 21 , 2014",3
1157,27989,0,1157,"Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14",,Listen ( Deluxe Version ),,,,3:20,,27989,"I 'll Keep Loving you ( feat . Birdy & Jaymes Young ) David Guetta Listen ( Deluxe ) $ 1.29 2015 If Moving Your Mine November 24 , 2014",,,Dance & Electronic,,,3:08,,4
3332,7412,0,3332,"True Colors ( feat . Nicki Minaj ) Wiz Khalifa Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock 4:15 19-Aug-14",,Blacc Hollywood,,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,,,7412,"Still Down ( feat . Chevy Woods & Ty Dolla $ ign ) [ Explicit ] $ 1.29 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company 4:16 August 19 , 2014",Wiz Khalifa,Blacc Hollywood [ Explicit ],Rap & Hip-Hop,,,,,5
4733,43755,0,4733,Lick It ( Norman Doray Remix ) Lick It ( Remixes ) - EP,Kaskade & Skrillex,,"Dance , Music , Electronic",$ 1.29,"2012 Ultra Records , Inc.",6:14,17-Apr-12,43755,"Take ÌÏ There ( feat . Kiesza ) [ Netsky Remix ] 2010 Robbins Entertainment LLC 3:29 December 23 , 2014",Skrillex & Diplo,Take ÌÏ There ( feat . Kiesza ) [ Remixes ],Dance & Electronic,$ 1.29,,,,6
4733,31618,0,4733,Lick It ( Norman Doray Remix ) Lick It ( Remixes ) - EP,Kaskade & Skrillex,,"Dance , Music , Electronic",$ 1.29,"2012 Ultra Records , Inc.",6:14,17-Apr-12,31618,"Scary Monsters And Nice Sprites ( Phonat Remix ) Skrillex More Monsters And Sprites EP Dance & Electronic , Dubstep $ 1.29 2011 Rory Bourke Music Co. ( BMI )",,,,,,3:39,"June 7 , 2011",7
3949,38669,0,3949,"Whatcha Say ( Klubjumpers Remix Radio ) Jason Derulo Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance $ 1.29 2011 This Compilation P2011 Warner Bros. . Records Inc. 4:02",,Reloaded,,,,,16-Dec-11,38669,The Sky 's The Limit ( Ayo Remix ) Jason Derulo Reloaded $ 1.29 3:25,,,Pop,,"( C ) 2006 DTP Records , LLC",,"December 16 , 2011",8
2477,1222,0,2477,"Because of Your Love Greatest Hits Country , Music , Contemporary Country , Urban Cowboy $ 0.99",Kenny Chesney,,,,2000 BMG Entertainment,4:16,26-Sep-00,1222,"Ruby , Do n't Take Your Love To Town 2:55",Kenny Rogers,49 All Time Greatest Hits,"Country , Traditional Country , Cowboy",$ 0.89,( c ) 2008 Goldenlane Records,,"August 1 , 2008",9
4056,40142,0,4056,Where Are '`` Now ( with Justin Bieber ) [ Ember Island Remix ] 2:31 16-Jun-15,Skrillex & Diplo,Where Are '`` Now ( with Justin Bieber ) [ Remixes ] - EP,"Dance , Music",$ 1.29,2015 OWSLA / Mad Decent / Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,,,40142,"Scary Monsters And Nice Sprites ( Zedd Remix ) Skrillex Scary Monsters And Nice Sprites EP [ Explicit ] Electronica , Dance & Electronic , Dubstep $ 1.29 ( c ) 2013 Digitop Ltd",,,,,,5:57,"December 21 , 2010",10
1551,41574,0,1551,Second Chance ( Live Acoustic from Kansas City ) Shinedown $ 1.29 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 18-Apr-11,,Somewhere In the Stratosphere ( Live ),"Rock , Music , Metal , Alternative , Hard Rock",,,5:06,,41574,"Burning Bright ( Live From Washington State ) Somewhere In The Stratosphere Rock $ 1.29 April 18 , 2011",Shinedown,,,,( C ) 2005 MCA Nashville,3:53,,11
2020,28191,0,2020,"If I Am a Stranger ( Live In Amsterdam ) Ryan Adams Live After Deaf ( Live ) [ Complete Collection ] Singer/Songwriter , Music , Rock $ 0.99 2012 PAXAM RECORDS 5:10 2-Jul-12",,,,,,,,28191,Dear Chicago ( Live in Stockholm ) Live After Deaf ( Collection ) 2012 PAXAM RECORDS,Ryan Adams,,"Folk , Rock",$ 0.99,,2:29,"July 2 , 2012",12
2020,28341,0,2020,"If I Am a Stranger ( Live In Amsterdam ) Ryan Adams Live After Deaf ( Live ) [ Complete Collection ] Singer/Songwriter , Music , Rock $ 0.99 2012 PAXAM RECORDS 5:10 2-Jul-12",,,,,,,,28341,"Carolina Rain ( Live in Cork ) Ryan Adams $ 0.99 2012 PAXAM RECORDS 5:41 August 9 , 2012",,Live After Deaf ( Cork ),"Folk , Rock",,,,,13
2020,28308,0,2020,"If I Am a Stranger ( Live In Amsterdam ) Ryan Adams Live After Deaf ( Live ) [ Complete Collection ] Singer/Songwriter , Music , Rock $ 0.99 2012 PAXAM RECORDS 5:10 2-Jul-12",,,,,,,,28308,16 Days ( Live in Glasgow ) $ 0.99 2012 PAXAM RECORDS 4:31,Ryan Adams,Live After Deaf ( Collection ),"Folk , Rock",,,,"July 2 , 2012",14
1405,55640,0,1405,Autonomy ( Cold Blank Mix ) Autonomy - EP 2011 Bugeyed Records 28-Mar-11,Zedd,,"Dance , Music",$ 0.99,,4:59,,55640,"Autonomy ( Lucky Date Mix ) Zedd Electronica , Dance & Electronic 5:59 March 28 , 2011",,Zedd - Autonomy,,$ 0.99,( C ) 2014 Wolf Tone Limited,,,15
380,33288,0,380,"Closer ( feat . Mike Posner ) Nick Jonas $ 1.29 2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC 3:48",,Nick Jonas ( Deluxe Version ),"Pop , Music , Teen Pop , Pop/Rock , Rock",,,,10-Nov-14,33288,"Numb [ feat . Angel Haze ] [ Clean ] Pop $ 1.29 ( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc. 3:57",Nick Jonas,Nick Jonas ( Deluxe ) [ Clean ],,,,,"November 10 , 2014",16
4236,27814,0,4236,"Starry Eyed ( AN21 and Max Vangeli Remix ) Starry Eyed ( Remixes ) - EP Dance , Music , Pop , Rock $ 1.29 15-Feb-11",Ellie Goulding,,,,2011 Polydor Ltd. ( UK ),8:14,,27814,"Lights ( Shook Remix ) Ellie Goulding Lights ( The Remixes Part 1 ) Pop 3:49 May 23 , 2011",,,,$ 1.29,( C ) 2011 Polydor Ltd. ( UK ),,,17
1236,50715,0,1236,"Titanium ( Spanish Version ) David Guetta Titanium ( Spanish Version ) - Single Dance , Music , Electronic $ 1.29",,,,,"2012 What A Music Ltd , Licence exclusive Parlophone Music France",3:58,20-Aug-12,50715,"Titanium ( feat . Sia ) [ Cazzette 's Ant Seeking Hamster Mix ] $ 0.99 January 20 , 2012",David Guetta,Titanium ( Feat . Sia ),Dance & Electronic,,"2011 What A Music Ltd , licence exclusive Parlophone Music France",6:37,,18
4823,20588,1,4823,Halcyon Ellie Goulding $ 1.29 ‰ ãÑ 2013 Polydor Ltd. ( UK ),,Halcyon Days ( Deluxe Edition ),"Pop , Music , Dance , Rock",,,3:24,27-Aug-13,20588,"Halcyon Ellie Goulding Pop ( C ) 2013 Polydor Ltd. ( UK ) 3:24 August 27 , 2013",,Halcyon,,$ 1.29,,,,19
1168,34894,0,1168,"Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] One Love ( Deluxe Version ) Dance , Music $ 1.29 21-Aug-09",David Guetta,,,,2010 Gum Prod licence exclusive Parlophone Music France,2:51,,34894,"Gettin ' Over ( Feat . Chris Willis ; Continuous Mix Version ) David Guetta One Love ( Deluxe Version ) Dance & Electronic ( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd August 21 , 2009",,,,$ 1.29,,3:31,,20
210,19800,0,210,Slow Down ( Sure Shot Rockers Reggae Dub Remix ) Slow Down ( Reggae Remixes ) - Single $ 1.29 3:15,Selena Gomez,,"Reggae , Music , Electronic , Dance , Rock",,"2013 Hollywood Records , Inc.",,20-Aug-13,19800,Good For You ( Yellow Claw & Cesqeaux Remix ) [ feat . A$ AP Rocky ] Pop $ 1.29,Selena Gomez,Good For You ( Remixes ),,,( C ) 2015 Interscope Records,3:01,"September 4 , 2015",21
5712,35057,1,5712,"Turn Around ( 5,4,3,2,1 ) [ DJ Bam Bam Radio Remix ] Flo Rida $ 1.29 16-Nov-10",,"Turn Around ( 5,4,3,2,1 ) - Deluxe Single","Hip-Hop/Rap , Music , Electronic , Rap , Dirty South , Dance",,‰ ãÑ 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,3:35,,35057,"Turn Around ( 5,4,3,2,1 ) Flo Rida Only One Flo ( Part 1 ) [ Deluxe ] [ + Video ] [ + Digital Booklet ] Rap & Hip-Hop $ 1.29 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 3:20",,,,,,,"November 26 , 2010",22
303,22290,0,303,"Lifted ( feat . Emeli Sand ' © & Professor Green ) Hotel Cabana ( Deluxe Version ) Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock $ 1.29",Naughty Boy,,,,2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,4:15,6-May-14,22290,"One Way [ feat . Mic Righteous ] Naughty Boy Hotel Cabana ( Deluxe Version ) [ Explicit ] Pop $ 1.29 ( C ) 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd May 6 , 2014",,,,,,3:26,,23
3346,37611,0,3346,"Young , Wild & Free ( feat . Bruno Mars ) Snoop Dogg Soundtrack,Music,Hip-Hop / Rap , West Coast Rap , Gangsta Rap , Hardcore Rap , Rap , Soundtrack $ 1.99 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States",,Mac and Devin Go to High School ( Music from and Inspired By the Movie ) [ Deluxe Version ],,,,4:12,12-Dec-11,37611,"Can You Control Yo Hoe ( Album Version ( Explicit ) ) [ feat . Soopafly ] [ Explicit ] Snoop Dogg R&G ( Rhythm & Gangsta ) : The Masterpiece ( Explicit Version ) Gangsta & Hardcore , Rap & Hip-Hop ( C ) 2004 Geffen Records November 16 , 2004",,,,$ 0.99,,3:08,,24
6764,51438,1,6764,"Gone The Weeknd Trilogy R&B / Soul , Music , Rock , Contemporary R&B $ 1.29 ‰ ãÑ 2012 XO & co. , Inc.",,,,,,8:07,13-Nov-12,51438,"Gone ( Album Version ( Edited ) ) [ Clean ] ( C ) 2013 XO & co. , Inc. 8:07 September 18 , 2015",The Weeknd,Trilogy ( Edited Version ) [ Clean ],R&B,$ 1.29,,,,25
1084,9523,0,1084,"Masterpiece ( feat . Jordan Rakei ) Disclosure Caracal 2015 Island Records , a division of Universal Music Operations Limited 4:01",,,"Electronic , Music , Dance , Garage , House , Rock",Album Only,,,,9523,"Holding On [ feat . Gregory Porter ] Disclosure $ 1.29 5:15 September 25 , 2015",,Caracal,"Electronica , Dance & Electronic",,"( C ) 2015 Island Records , a division of Universal Music Operations Limited",,,26
1828,15256,0,1828,"El Perd ' _ n ( Forgiveness ) Pop , Music 3:26",Nicky Jam & Enrique Iglesias,El Perd ' _ n ( Forgiveness ) - Single,,$ 1.29,2015 Sony Music Entertainment US Latin LLC,,10-Jul-15,15256,"El PerdÌ_n ( Gregor Salto Remix ) Nicky Jam & Enrique Iglesias 2015 Real Sounds July 1 , 2015",,El PerdÌ_n ( The Remixes ),"International , Latin Music , Latin Hip-Hop",$ 1.29,,4:09,,27
5147,43656,0,5147,"Take Care ( feat . Rihanna ) Take Care ( Deluxe Version ) Hip-Hop/Rap , Music $ 1.29",Drake,,,,‰ ãÑ 2011 Cash Money Records Inc.,4:37,15-Nov-11,43656,"Make Me Proud [ feat . Nicki Minaj ] [ Clean ] Take Care ( Deluxe Edition ) 3:39 March 20 , 2012",Drake,,Rap & Hip-Hop,$ 1.29,( C ) 2012 Cash Money Records Inc.,,,28
5147,43679,0,5147,"Take Care ( feat . Rihanna ) Take Care ( Deluxe Version ) Hip-Hop/Rap , Music $ 1.29",Drake,,,,‰ ãÑ 2011 Cash Money Records Inc.,4:37,15-Nov-11,43679,The Real Her [ feat . Andre 3000 ] [ Explicit ] Rap & Hip-Hop $ 1.29 ( C ) 2012 Cash Money Records Inc.,Drake,Take Care ( Deluxe Edition ) [ Explicit ],,,,5:21,"March 20 , 2012",29
2694,17169,0,2694,"Whateva ( feat . Monty ) Fetty Wap Hip-Hop/Rap , Music , Rap Album Only 2015 300 Entertainment/RGF Productions",,Fetty Wap ( Deluxe ),,,,5:11,,17169,"My Way ( feat . Monty ) [ Explicit ] Fetty Wap Fetty Wap ( Deluxe ) [ Explicit ] Rap & Hip-Hop ( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves 3:33",,,,$ 1.29,,,"September 25 , 2015",30
592,43689,1,592,I Ai n't Livin ' Long Like This Take It to the Bank - EP 2014 Sony Music Entertainment,Chris Janson,,"Country , Music",$ 1.29,,4:13,24-Feb-14,43689,"I Ai n't Livin ' Long Like This Chris Janson Take It to the Bank ( EP ) February 24 , 2014",,,Country,$ 1.29,( C ) 2012 Cash Money Records Inc.,4:13,,31
2479,33786,1,2479,I Ca n't Go There ( Acoustic Version ) $ 0.99 2002 BMG 3:45,Kenny Chesney,"No Shoes , No Shirt , No Problems","Country , Music , Contemporary Country , Urban Cowboy",,,,2-Apr-02,33786,"I Ca n't Go There ( Acoustic Version ) Kenny Chesney No Shoes , No Shirt , No Problems Country 3:45 April 2 , 2002",,,,$ 0.99,Underground Avenue,,,32
5001,3099,1,5001,"Who I Am With You Chris Young Country , Music , Urban Cowboy , Contemporary Country ‰ ãÑ 2013 Sony Music Entertainment 3:13",,A.M.,,$ 1.29,,,16-Sep-13,3099,"Who I Am With You Country September 16 , 2013",Chris Young,A.M.,,$ 1.29,"( C ) 2010 Hollywood Records , Inc.",3:11,,33
6290,47840,0,6290,Gold ( feat . Eighty4 Fly ) Macklemore & Ryan Lewis The Heist ( Deluxe Edition ),,,"Hip-Hop/Rap , Music , Rap , Alternative Rap , West Coast Rap",$ 1.29,"‰ ãÑ 2012 Macklemore , LLC .",4:11,1-Aug-12,47840,"Neon Cathedral ( feat . Allen Stone ) Macklemore & Ryan Lewis The Heist [ Explicit ] Rap & Hip-Hop 2014 Selena Garcia & Steven Gomez October 9 , 2012",,,,$ 1.29,,4:34,,34
1193,28006,0,1193,The Whisperer ( feat . Sia ) Listen $ 1.29 3:54,David Guetta,,"Dance , Music , Electronic , House , Rock , French Pop",,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",,24-Nov-14,28006,S.T.O.P ( feat . Ryan Tedder ) David Guetta Listen ( Deluxe ) Dance & Electronic 2015 If Moving Your Mine,,,,$ 1.29,,3:34,"November 24 , 2014",35
1193,27999,0,1193,The Whisperer ( feat . Sia ) Listen $ 1.29 3:54,David Guetta,,"Dance , Music , Electronic , House , Rock , French Pop",,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",,24-Nov-14,27999,"Goodbye Friend ( feat . The Script ) David Guetta Dance & Electronic $ 1.29 November 24 , 2014",,Listen ( Deluxe ),,,2015 If Moving Your Mine,3:49,,36
801,29543,0,801,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ] 2012 The Island Def Jam Music Group,Justin Bieber,As Long As You Love Me ( Remixes ) [ feat . Big Sean ],"Dance , Music , Rock",$ 1.29,,4:40,11-Sep-12,29543,Love Me Like You Do ( Sax Instrumental Version ) Justin Ward Love Me Like You Do - Made Popular By Ellie Goulding Pop ( c ) 2015 Covered Records 3:16,,,,$ 0.89,,,,37
6234,13713,1,6234,"Doin ' My Thing Doin ' My Thing Country , Music , Contemporary Country ‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203 2-Oct-09",Luke Bryan,,,$ 1.29,,3:09,,13713,Doin ' My Thing Luke Bryan Doin ' My Thing Country $ 1.29 3:09,,,,,( C ) 2009 Capitol Records Nashville,,"October 2 , 2009",38
3349,7362,0,3349,Remember You ( feat . The Weeknd ) $ 1.99 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 4-Dec-12,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",,,5:20,,7362,"KK ( feat . Project Pat & Juicy J ) [ Explicit ] $ 1.29 August 19 , 2014",Wiz Khalifa,Blacc Hollywood ( Deluxe ) [ Explicit ],Rap & Hip-Hop,,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:09,,39
3549,19057,0,3549,"Turn Around ( 5,4,3,2,1 ) [ AK Remix ] Turn Around ( 5,4,3,2,1 ) [ Remixes ] Dance,Music,Hip-Hop / Rap , Dirty South , Rap , Electronic $ 1.29 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 5:09",Flo Rida,,,,,,19-Apr-11,19057,"Gdfr ( Feat . Sage The Gemini & Lookas ) [ K. Theory Remix ] Rap & Hip-Hop $ 1.29 3:08 January 21 , 2015",Flo Rida,Gdfr ( Feat . Sage The Gemini & Lookas ) [ Remixes ],,,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,,,40
1625,27515,0,1625,"Fake ( Demo ) Us and Them ( Deluxe Version ) Rock , Music , Metal , Hard Rock , Alternative 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 4-Oct-05",Shinedown,,,$ 1.29,,5:05,,27515,Left Out [ Demo ] Shinedown 2015 Mad Decent,,Leave A Whisper ( Deluxe ),Rock,$ 1.29,,3:36,"May 27 , 2003",41
5409,20551,0,5409,Every Time You Go Bright Lights ( Deluxe Version ) ‰ ãÑ 2010 Polydor Ltd. ( UK ) 29-Nov-10,Ellie Goulding,,"Pop , Music , Dance , Rock",$ 1.29,,3:25,,20551,"I Know You Care $ 1.29 3:26 August 27 , 2013",Ellie Goulding,Halcyon ( Deluxe ),Pop,,( C ) 2013 Polydor Ltd. ( UK ),,,42
1148,7757,1,1148,Goner twenty one pilots,,Blurryface,"Alternative , Music , Rock , Adult Alternative , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,15-May-15,7757,Goner twenty one pilots Alternative Rock $ 1.29 3:56,,Blurryface,,,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,,"May 15 , 2015",43
467,362,1,467,Sunburn ( Bonus Track ) #NAME ?,Ed Sheeran,,"Singer/Songwriter , Music",$ 1.29,2011 Warner Music UK Limited,4:35,9-Sep-11,362,"Sunburn ( Deluxe Edition ) Ed Sheeran #NAME ? Pop 4:35 September 9 , 2011",,,,$ 1.29,Doll records,,,44
6458,18807,1,6458,I Do n't Believe You ( Main Version ) $ 1.29 ‰ ãÑ LaFace Recording LLC 4:36 28-Oct-08,P!NK,Funhouse,"Pop , Music , R&B / Soul , Dance , Pop/Rock",,,,,18807,"I Do n't Believe You P!nk Funhouse ( Explicit ) R&B , Pop ( c ) 2006 Roadshow 4:36 October 28 , 2008",,,,$ 1.29,,,,45
2841,52852,0,2841,"Crack In the Pearl , Pt . II ( feat . Stevie Wonder & Jeff Bhasker ) Mark Ronson Uptown Special Pop , Music , R&B / Soul , Funk , Soul $ 1.29 2:16",,,,,"Tracks 4 & 6 ( P ) 2014 , all other tracks ( P ) 2015 Mark Ronson under exclusive licence to Sony Music Entertainment UK Limited",,13-Jan-15,52852,"Crack In the Pearl Uptown Special [ Clean ] January 13 , 2015",Mark Ronson,,Pop,$ 1.29,2015 Real Sounds,2:25,,46
5085,40496,0,5085,"You & Me ( feat . Eliza Doolittle ) Disclosure Settle ( Deluxe Version ) Electronic , Music 15-Apr-14",,,,$ 1.29,"‰ ãÑ 2014 Universal Island Records , a division of Universal Music Operations Limited",4:26,,40496,"Defeated No More [ feat . Edward Macfarlane ] Settle Electronica , Dance & Electronic June 11 , 2013",Disclosure,,,$ 1.29,"( C ) 2013 Universal Island Records , a division of Universal Music Operations Limited",6:07,,47
2459,10377,0,2459,"O Little Town of Bethlehem All I Want for Christmas Is a Real Good Tan Holiday , Music , Country , Honky Tonk , Contemporary Country , Christmas 4:18 4-Oct-03",Kenny Chesney,,,$ 0.99,2003 BMG Music,,,10377,"Sweet Little Jesus Boy 3:04 August 17 , 2000",Kenny Rogers,Christmas Greetings,"Holiday , Christmas , Miscellaneous",$ 1.29,"( C ) 2000 Capitol Records , LLC",,,48
3573,53964,0,3573,"Why You Up In Here ( feat . Ludacris , Git Fresh & Gucci Mane ) 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 3:36",Flo Rida,"Only One Flo , Pt. 1","Hip-Hop/Rap , Music , Rap , Dirty South",$ 1.29,,,24-Nov-10,53964,"Street Money ( feat . Rick Ross ) [ Explicit ] Welcome to Flo Rida [ Explicit ] Rap & Hip-Hop $ 0.99 2015 CMG Records 3:57 April 6 , 2015",Flo Rida,,,,,,,49
1344,10527,0,1344,"Beautiful Now ( feat . Jon Bellion ) [ Charlie Darker Remix ] Beautiful Now ( feat . Jon Bellion ) [ Remixes ] - EP Dance , Music",Zedd,,,$ 1.29,2015 Interscope Records,4:15,10-Jul-15,10527,"Clarity ( Zedd Union Mix ) [ feat . Foxes ] Zedd Clarity ( Remixes ) Dance & Electronic $ 1.29 3:28 February 12 , 2013",,,,,( C ) 2013 Interscope Records,,,50
