index,id,name,addr,city,phone,type,class,source,entity_id
187,463,` california culinary academy ',' 625 polk st. ',` san francisco ',415/771 -3500,french,463,0,160
114,444,` margarita \ 's mexican cantina ',' 3120 las vegas blvd. s ',` las vegas ',702/794 -8200,mexican,444,0,161
8,421,` taste of new orleans ',' 889 w. peachtree st. ',atlanta,404/874 -5535,southern,421,0,162
272,173,vida,' 1930 north hillhurst ave. ',` los feliz ',213/660 -4446,american,170,0,163
158,492,` le soleil ',' 133 clement st. ',` san francisco ',415/668 -4848,asian,492,0,164
226,448,` ralph \ 's diner ',' 3000 las vegas blvd. s ',` las vegas ',702/732 -6330,` coffee shops/diners ',448,0,165
103,236,` ernie \ 's ',' 2150 broadway between 75th and 76th sts . ',` new york ',212/496 -1588,american,234,0,166
131,321,palio,' 151 w. 51st . st. ',` new york ',212/245 -4850,italian,320,0,167
217,319,otabe,'68 e. 56th st. ',` new york ',212/223 -7575,asian,318,0,168
163,384,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,0,169
171,344,` sarabeth \ 's kitchen ',' 423 amsterdam ave. between 80th and 81st sts . ',` new york ',212/496 -6280,american,344,0,170
135,442,` lillie langtry \ 's ',' 129 e. fremont st. ',` las vegas ',702/385 -7111,asian,442,0,171
245,447,pamplemousse,' 400 e. sahara ave. ',` las vegas ',702/733 -2066,continental,447,0,172
287,464,` capp \ 's corner ',' 1600 powell st. ',` san francisco ',415/989 -2589,italian,464,0,173
175,295,` lincoln tavern ','51 w. 64th st. ',` new york ',212/721 -8271,american,294,0,174
59,273,` jean lafitte ','68 w. 58th st. ',` new york ',212/751 -2323,french,272,0,175
2,90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90,0,176
4,422,tomtom,' 3393 peachtree rd. ',atlanta,404/264 -1163,continental,422,0,177
85,398,` horseradish grill ',' 4320 powers ferry rd. ',atlanta,404/255 -7277,southern,398,0,178
282,348,sfuzzi,'58 w. 65th st. ',` new york ',212/873 -3700,american,348,0,179
274,500,` one market ',' 1 market st. ',` san francisco ',415/777 -5577,american,500,0,180
281,478,` hayes street grill ',' 320 hayes st. ',` san francisco ',415/863 -5545,seafood,478,0,181
214,487,` katia \ 's ',' 600 5th ave. ',` san francisco ',415/668 -9292,'',487,0,182
49,374,` water club ',' 500 e. 30th st. ',` new york ',212/683 -3333,american,374,0,183
223,70,` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,0,184
279,161,` rj \ 's the rib joint ',' 252 n. beverly dr. ',` los angeles ',310/274 -7427,american,158,0,185
167,167,swingers,' 8020 beverly blvd. ',` los angeles ',213/653 -5858,american,164,0,186
232,276,` joe allen ',' 326 w. 46th st. ',` new york ',212/581 -6464,american,275,0,187
236,136,` ed debevic \ 's ',' 134 n. la cienega ',` los angeles ',310/659 -1952,american,133,0,188
165,140,` hard rock cafe ',' 8600 beverly blvd. ',` los angeles ',310/276 -7605,american,137,0,189
261,512,` south park cafe ',' 108 south park ',` san francisco ',415/495 -7275,french,512,0,190
122,432,` cafe michelle ',' 1350 e. flamingo rd. ',` las vegas ',702/735 -8686,american,432,0,191
179,524,` vivande porta via ',' 2125 fillmore st. ',` san francisco ',415/346 -4430,italian,524,0,192
193,240,ferrier,'29 e. 65th st. ',` new york ',212/772 -9000,french,238,0,193
113,449,` the bacchanal ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7525,` only in las vegas ',449,0,194
48,373,vong,' 200 e. 54th st. ',` new york ',212/486 -9592,american,373,0,195
164,145,` jimmy \ 's ',' 201 moreno dr. ',` los angeles ',310/552 -2394,continental,142,0,196
108,146,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143,0,197
176,201,` cafe bianco ',' 1486 2nd ave. between 77th and 78th sts . ',` new york ',212/988 -2655,` coffee bar ',199,0,198
253,446,mikado,' 3400 las vegas blvd. s ',` las vegas ',702/791 -7111,asian,446,0,199
65,282,` la reserve ',' 4 w. 49th st. ',` new york ',212/247 -2993,french,281,0,200
26,436,` center stage plaza hotel ',' 1 main st. ',` las vegas ',702/386 -2512,american,436,0,201
155,125,` canter \ 's ',' 419 n. fairfax ave. ',` los angeles ',213/651 -2030 .,american,122,0,202
198,439,feast,' 2411 w. sahara ave. ',` las vegas ',702/367 -2411,buffets,439,0,203
273,272,ipanema,'13 w. 46th st. ',` new york ',212/730 -5848,` latin american ',271,0,204
115,429,bistro,' 3400 las vegas blvd. s ',` las vegas ',702/791 -7111,continental,429,0,205
189,486,` kabuto sushi ',' 5116 geary blvd. ',` san francisco ',415/752 -5652,asian,486,0,206
43,287,` le colonial ',' 149 e. 57th st. ',` new york ',' 212 / 752-0808 ',asian,286,0,207
277,506,` perry \ 's ',' 1944 union st. ',` san francisco ',415/922 -9022,american,506,0,208
66,181,` alley \ 's end ',' 311 w. 17th st. ',` new york ',212/627 -8899,american,178,0,209
78,428,` binion \ 's coffee shop ',' 128 fremont st. ',` las vegas ',702/382 -1600,` coffee shops/diners ',428,0,210
121,435,` carnival world ',' 3700 w. flamingo rd. ',` las vegas ',702/252 -7777,buffets,435,0,211
42,286,` le chantilly ',' 106 e. 57th st. ',` new york ',212/751 -2931,french,285,0,212
31,159,posto,' 14928 ventura blvd. ',` sherman oaks ',818/784 -4400,italian,156,0,213
84,473,` grand cafe hotel monaco ',' 501 geary st. ',` san francisco ',415/292 -0101,american,473,0,214
156,481,` hong kong villa ',' 2332 clement st. ',` san francisco ',415/752 -8833,asian,481,0,215
106,388,` camille \ 's ',' 1186 n. highland ave. ',atlanta,404/872 -7203,italian,388,0,216
181,501,oritalia,' 1915 fillmore st. ',` san francisco ',415/346 -1333,italian,501,0,217
197,152,` nate \ ` n \ ' al \ 's ',' 414 n. beverly dr. ',` los angeles ',310/274 -0101,american,149,0,218
127,338,` ruth \ 's chris ',' 148 w. 51st st. ',` new york ',212/245 -9600,american,338,0,219
45,205,` cafe pierre ',' 2 e. 61st st. ',` new york ',212/940 -8185,french,203,0,220
62,317,orso,' 322 w. 46th st. ',` new york ',212/489 -7212,italian,316,0,221
284,225,` corrado cafe ',' 1013 3rd ave. between 60th and 61st sts . ',` new york ',212/753 -5100,` coffee bar ',223,0,222
77,309,` monkey bar ','60 e. 54th st. ',` new york ',212/838 -2600,american,308,0,223
96,156,` pacific dining car ',' 6th st. ',` los angeles ',213/483 -6000,american,153,0,224
19,235,'em pire korea ',' 6 e. 32nd st. ',` new york ',212/725 -1333,asian,233,0,225
263,223,` coco pazzo ','23 e. 74th st. ',` new york ',212/794 -0205,italian,221,0,226
251,133,` drai \ 's ',' 730 n. la cienega blvd. ',` los angeles ',310/358 -8585,french,130,0,227
5,410,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,0,228
235,121,` ca \ ` brea ',' 346 s. la brea ave. ',` los angeles ',213/938 -2863,italian,118,0,229
70,453,2223,' 2223 market st. ',` san francisco ',415/431 -0692,american,453,0,230
144,306,` matthew \ 's ',' 1030 3rd ave. at 61st st. ',` new york ',212/838 -4343,american,305,0,231
207,457,` bistro roti ',' 155 steuart st. ',` san francisco ',415/495 -6500,french,457,0,232
212,255,` gabriela \ 's ',' 685 amsterdam ave. at 93rd st. ',` new york ',212/961 -0574,mexican,253,0,233
256,323,` parioli romanissimo ','24 e. 81st st. ',` new york ',212/288 -2391,italian,322,0,234
112,427,` bertolini \ 's ',' 3570 las vegas blvd. s ',` las vegas ',702/735 -4663,italian,427,0,235
238,142,` il fornaio cucina italiana ',' 301 n. beverly dr. ',` los angeles ',310/550 -8330,italian,139,0,236
258,332,` post house ','28 e. 63rd st. ',` new york ',212/935 -2888,american,331,0,237
27,138,` gilliland \ 's ',' 2424 main st. ',` santa monica ',310/392 -3901,american,135,0,238
140,530,` yoyo tsumami bistro ',' 1611 post st. ',` san francisco ',415/922 -7788,french,530,0,239
3,393,` dante \ 's down the hatch buckhead ',' 3380 peachtree rd. ',atlanta,404/266 -1600,continental,393,0,240
196,124,` california pizza kitchen ',' 207 s. beverly dr. ',` los angeles ',310/275 -1101,californian,121,0,241
201,456,betelnut,' 2030 union st. ',` san francisco ',415/929 -8855,asian,456,0,242
141,510,sanppo,' 1702 post st. ',` san francisco ',415/346 -3486,asian,510,0,243
250,249,follonico,' 6 w. 24th st. ',` new york ',212/691 -6359,italian,247,0,244
174,278,` l \ ` absinthe ',' 227 e. 67th st. ',` new york ',212/794 -4950,french,277,0,245
99,452,` yolie \ 's ',' 3900 paradise rd. ',` las vegas ',702/794 -0700,` steak houses ',452,0,246
200,155,orleans,' 11705 national blvd. ',` los angeles ',310/479 -4187,cajun,152,0,247
283,450,venetian,' 3713 w. sahara ave. ',` las vegas ',702/876 -4190,italian,450,0,248
119,495,maykadeh,' 470 green st. ',` san francisco ',415/362 -8286,` greek and middle eastern ',495,0,249
124,451,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,0,250
55,329,` planet hollywood ',' 140 w. 57th st. ',` new york ',212/333 -7827,american,328,0,251
149,363,triangolo,' 345 e. 83rd st. ',` new york ',212/472 -4488,italian,363,0,252
52,291,` le marais ',' 150 w. 46th st. ',` new york ',212/869 -0900,american,290,0,253
9,386,bistango,' 1100 peachtree st. ',atlanta,404/724 -0901,mediterranean,386,0,254
50,220,chiam,' 160 e. 48th st. ',` new york ',212/371 -2323,asian,218,0,255
233,165,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,0,256
79,440,` golden nugget hotel ',' 129 e. fremont st. ',` las vegas ',702/385 -7111,buffets,440,0,257
138,406,` mambo restaurante cubano ',' 1402 n. highland ave. ',atlanta,404/874 -2626,caribbean,406,0,258
269,517,` straits cafe ',' 3300 geary blvd. ',` san francisco ',415/668 -1783,asian,517,0,259
61,318,` osteria al droge ',' 142 w. 44th st. ',` new york ',212/944 -3643,italian,317,0,260
210,176,' 9 jones street ',' 9 jones st. ',` new york ',212/989 -1220,american,173,0,261
129,222,cite,' 120 w. 51st st. ',` new york ',212/956 -7100,french,220,0,262
275,214,` caffe bondi ristorante ',' 7 w. 20th st. ',` new york ',212/691 -8136,italian,212,0,263
120,423,` antonio \ 's ',' 3700 w. flamingo ',` las vegas ',702/252 -7737,italian,423,0,264
21,368,` two two two ',' 222 w. 79th st. ',` new york ',212/799 -0400,american,368,0,265
81,349,shaan,'57 w. 48th st. ',` new york ',' 212 / 977-8400 ',asian,349,0,266
169,519,` tadich grill ',' 240 california st. ',` san francisco ',415/391 -2373,seafood,519,0,267
243,502,` pacific pan pacific hotel ',' 500 post st. ',` san francisco ',415/929 -2087,french,502,0,268
220,459,bizou,' 598 fourth st. ',` san francisco ',415/543 -2222,french,459,0,269
191,522,` ton kiang ',' 3148 geary blvd. ',` san francisco ',415/752 -4440,asian,522,0,270
111,490,` l \ ` osteria del forno ',' 519 columbus ave. ',` san francisco ',415/982 -1124,italian,490,0,271
76,342,` san pietro ','18 e. 54th st. ',` new york ',212/753 -9015,italian,342,0,272
95,151,` morton \ 's ',' 8764 melrose ave. ',` los angeles ',310/276 -5205,american,148,0,273
104,485,` jack \ 's ',' 615 sacramento st. ',` san francisco ',415/986 -9854,` old san francisco ',485,0,274
86,498,` moose \ 's ',' 1652 stockton st. ',` san francisco ',415/989 -7800,mediterranean,498,0,275
88,119,` border grill ',' 4th st. ',` los angeles ',310/451 -1655,mexican,116,0,276
10,396,` french quarter food shop ',' 923 peachtree st. at 8th st. ',atlanta,404/875 -2489,southern,396,0,277
74,241,` fifty seven fifty seven ','57 e. 57th st. ',` new york ',212/758 -5757,american,239,0,278
137,413,` r.j. \ 's uptown kitchen & wine bar ',' 870 n. highland ave. ',atlanta,404/875 -7775,american,413,0,279
288,531,zarzuela,' 2000 hyde st. ',` san francisco ',415/346 -0800,` mexican/latin american/spanish ',531,0,280
58,326,` pen & pencil ',' 205 e. 45th st. ',` new york ',212/682 -8660,american,325,0,281
180,461,` cafe adriano ',' 3347 fillmore st. ',` san francisco ',415/474 -4180,italian,461,0,282
89,135,eclipse,' 8800 melrose ave. ',` los angeles ',310/724 -5959,californian,132,0,283
14,256,` gallagher \ 's ',' 228 w. 52nd st. ',` new york ',212/245 -5336,american,254,0,284
199,441,` golden steer ',' 308 w. sahara ave. ',` las vegas ',702/384 -4470,` steak houses ',441,0,285
105,479,helmand,' 430 broadway ',` san francisco ',415/362 -0641,` greek and middle eastern ',479,0,286
80,301,` manhattan cafe ',' 1161 1st ave. between 63rd and 64th sts . ',` new york ',212/888 -6556,american,300,0,287
68,207,` cafe fes ',' 246 w. 4th st. at charles st. ',` new york ',212/924 -7653,mediterranean,205,0,288
160,120,` broadway deli ',' 3rd st. promenade ',` santa monica ',310/451 -0616,american,117,0,289
20,46,` mulberry st. ',' 17040 ventura blvd. ',encino,818-906-8881,pizza,580,1,290
1,174,` original pancake house ( at ) ',' 4330 peachtree rd. ',atlanta,404-237-4116,american,708,1,291
7,175,` palm the ( atlanta ) ',' 3391 peachtree rd. ne ',atlanta,404-814-1955,steakhouses,709,1,292
54,204,` mel \ 's drive-in ',' 3355 geary st. ',` san francisco ',415-387-2244,hamburgers,739,1,293
92,290,` steak house the ',' 2880 las vegas blvd. s. ',` las vegas ',702-734-0410,steakhouses,72,1,294
217,72,` corner bistro ',' 331 w. fourth st. ',` new york city ',212-242-9502,hamburgers,606,1,295
132,197,` hamburger mary \ 's ',' 1582 folsom st. ',` san francisco ',415-626-1985,hamburgers,732,1,296
236,121,zarela,' 953 second ave. ',` new york city ',212-644-6740,mexican,655,1,297
65,62,` sweet lady jane ',' 8360 melrose ave. ',la,213-653-7145,desserts,596,1,298
80,26,` joe \ 's ',' 1023 abbot kinney blvd. ',venice,310-399-5811,` american ( new ) ',560,1,299
58,142,` alon \ 's at the terrace ',' 659 peachtree st. ',atlanta,404-724-0444,sandwiches,676,1,300
84,179,soto,' 3330 piedmont rd. ',atlanta,404-233-2005,japanese,714,1,301
136,141,' 103 west ',' 103 w. paces ferry rd. ',atlanta,404-233-5993,continental,675,1,302
113,65,` uncle bill \ 's pancake house ',' 1305 highland ave. ',` manhattan beach ',310-545-5177,diners,599,1,303
14,77,` edison cafe ',' 228 w. 47th st. ',` new york city ',212-840-5000,diners,611,1,304
212,52,` pink \ 's famous chili dogs ',' 709 n. la brea ave. ',la,213-931-4223,` hot dogs ',586,1,305
218,109,sushisay,'38 e. 51st st. ',` new york city ',212-755-1780,japanese,643,1,306
140,153,chops,'70 w. paces ferry rd. ',atlanta,404-262-2675,steakhouses,687,1,307
71,213,` ti couz ',' 3108 16th st. ',` san francisco ',415-252-7373,french,748,1,308
99,124,` buzio \ 's in the rio ',' 3700 w. flamingo rd. ',` las vegas ',702-252-7697,seafood,658,1,309
30,278,` shun lee palace ',' 155 e. 55th st. ',` new york city ',212-371-8844,chinese,60,1,310
119,113,` teresa \ 's ','80 montague st. ',queens,718-520-2910,polish,647,1,311
73,66,` water grill ',' 544 s. grand ave. ',` los angeles ',213-891-0900,seafood,600,1,312
90,140,` tre visi ',' 3799 las vegas blvd. s. ',` las vegas ',702-891-7331,italian,674,1,313
89,130,` michael \ 's ( las vegas ) ',' 3595 las vegas blvd. s. ',` las vegas ',702-737-7111,continental,664,1,314
49,156,eats,' 600 ponce de leon ave. ',atlanta,404-888-9149,italian,690,1,315
19,161,` havana sandwich shop ',' 2905 buford hwy . ',atlanta,404-636-4094,cuban,695,1,316
8,148,` brookhaven cafe ',' 4274 peachtree rd. ',atlanta,404-231-5907,vegetarian,682,1,317
201,136,` spago ( las vegas ) ',' 3500 las vegas blvd. s. ',` las vegas ',702-369-6300,californian,670,1,318
91,288,` palace court ',' 3570 las vegas blvd. s. ',` las vegas ',702-731-7110,` french ( new ) ',70,1,319
39,119,` wollensky \ 's grill ',' 205 e. 49th st. ',` new york city ',212-753-0444,steakhouses,653,1,320
55,152,` carey \ 's corner ',' 1215 powers ferry rd. ',marietta,770-933-0909,hamburgers,686,1,321
100,126,` fiore rotisserie & grille ',' 3700 w. flamingo rd. ',` las vegas ',702-252-7702,italian,660,1,322
129,151,` carey \ 's ',' 1021 cobb pkwy . se ',marietta,770-422-8042,hamburgers,685,1,323
155,34,` la cachette ',' 10506 little santa monica blvd. ',` century city ',310-470-4992,` french ( new ) ',568,1,324
154,12,` cafe blanc ',' 9777 little santa monica blvd. ',` beverly hills ',310-888-0108,` pacific new wave ',546,1,325
22,61,` sushi nozawa ',' 11288 ventura blvd. ',` studio city ',818-508-7017,japanese,595,1,326
0,184,` white house restaurant ',' 3172 peachtree rd. ne ',atlanta,404-237-7601,diners,719,1,327
142,64,` tommy \ 's ',' 2575 beverly blvd. ',la,213-389-9060,hamburgers,598,1,328
177,191,` doidge \ 's ',' 2217 union st. ',` san francisco ',415-921-2149,american,726,1,329
182,167,` la fonda latina ',' 4427 roswell rd. ',atlanta,404-303-8201,spanish,701,1,330
12,330,` ritz-carlton cafe ( atlanta ) ',' 181 peachtree st. ',atlanta,404-659-0400,` american ( new ) ',711,1,331
77,134,` nicky blair \ 's ',' 3925 paradise rd. ',` las vegas ',702-792-9900,italian,668,1,332
210,238,` spago ( los angeles ) ',' 8795 sunset blvd. ',` w. hollywood ',310-652-4025,californian,20,1,333
86,189,` campo santo ',' 240 columbus ave. ',` san francisco ',415-433-9623,mexican,724,1,334
176,22,` indo cafe ',' 10428 1/2 national blvd. ',la,310-815-1290,indonesian,556,1,335
88,139,` sterling brunch ',' 3645 las vegas blvd. s. ',` las vegas ',702-739-4651,eclectic,673,1,336
174,59,` ruth \ 's chris steak house ( los angeles ) ',' 224 s. beverly dr. ',` beverly hills ',310-859-8744,steakhouses,593,1,337
181,154,chopstix,' 4279 roswell rd. ',atlanta,404-255-4868,chinese,688,1,338
131,186,` bill \ 's place ',' 2315 clement st. ',` san francisco ',415-221-5262,hamburgers,721,1,339
107,127,` hugo \ 's cellar ',' 202 e. fremont st. ',` las vegas ',702-385-4011,continental,661,1,340
40,120,yama,' 122 e. 17th st. ',` new york city ',212-475-0969,japanese,654,1,341
135,150,canoe,' 4199 paces ferry rd. ',atlanta,770-432-2663,` american ( new ) ',684,1,342
87,132,moongate,' 3400 las vegas blvd. s. ',` las vegas ',702-791-7352,chinese,666,1,343
138,177,riviera,' 519 e. paces ferry rd. ',atlanta,404-262-7112,mediterranean,712,1,344
220,40,` mani \ 's bakery & espresso bar ',' 519 s. fairfax ave. ',la,213-938-8800,desserts,574,1,345
127,60,shiro,' 1505 mission st. s. ',pasadena,818-799-4774,` pacific new wave ',594,1,346
125,146,` bobby & june \ 's kountry kitchen ',' 375 14th st. ',atlanta,404-876-3872,southern/soul,680,1,347
237,27,` john o \ ` groats ',' 10516 w. pico blvd. ',` west la ',310-204-0692,` coffee shops ',561,1,348
43,107,` sparks steak house ',' 210 e. 46th st. ',` new york city ',212-687-4855,steakhouses,641,1,349
112,51,` pho hoa ',' 642 broadway ',chinatown,213-626-5530,vietnamese,585,1,350
192,110,` sylvia \ 's ',' 328 lenox ave. ',` new york city ',212-996-0660,southern/soul,644,1,351
159,214,` trio cafe ',' 1870 fillmore st. ',` san francisco ',415-563-2248,american,749,1,352
108,138,` stefano \ 's ',' 129 fremont st. ',` las vegas ',702-385-7111,italian,672,1,353
219,215,` tu lan ',' 8 sixth st. ',` san francisco ',415-626-0927,vietnamese,750,1,354
157,24,jiraffe,' 502 santa monica blvd ',` santa monica ',310-917-6671,californian,558,1,355
204,308,` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90,1,356
221,158,frijoleros,' 1031 peachtree st. ne ',atlanta,404-892-8226,tex-mex,692,1,357
101,16,` don antonio \ 's ',' 1136 westwood blvd. ',westwood,310-209-1422,italian,550,1,358
41,187,` cafe flore ',' 2298 market st. ',` san francisco ',415-621-8579,californian,722,1,359
13,89,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,1,360
85,104,` rose of india ',' 308 e. sixth st. ',` new york city ',212-533-5011,indian,638,1,361
94,123,` buccaneer bay club ',' 3300 las vegas blvd. s. ',` las vegas ',702-894-7350,continental,657,1,362
195,75,darbar,'44 w. 56th st. ',` new york city ',212-432-7227,indian,609,1,363
166,202,` mario \ 's bohemian cigar store cafe ',' 2209 polk st. ',` san francisco ',415-776-8226,italian,737,1,364
232,6,` bistro 45 ','45 s. mentor ave. ',pasadena,818-795-2478,californian,540,1,365
167,217,` wa-ha-ka oaxaca mexican grill ',' 2141 polk st. ',` san francisco ',415-775-1055,mexican,752,1,366
206,0,` apple pan the ',' 10801 w. pico blvd. ',` west la ',310-475-3585,american,534,1,367
70,122,` andre \ 's french restaurant ',' 401 s. 6th st. ',` las vegas ',702-385-5016,` french ( classic ) ',656,1,368
83,17,` duke \ 's ',' 8909 sunset blvd. ',` w. hollywood ',310-652-3100,` coffee shops ',551,1,369
207,39,` main course the ',' 10509 w. pico blvd. ',` rancho park ',310-475-7564,american,573,1,370
21,56,` rubin \ 's red hots ',' 15322 ventura blvd. ',encino,818-905-6515,` hot dogs ',590,1,371
50,181,tortillas,' 774 ponce de leon ave. ne ',atlanta,404-892-0193,tex-mex,716,1,372
180,149,` cafe sunflower ',' 5975 roswell rd. ',atlanta,404-256-1675,` health food ',683,1,373
170,84,` john \ 's pizzeria ','48 w. 65th st. ',` new york city ',212-721-7001,pizza,618,1,374
145,195,'em erald garden restaurant ',' 1550 california st. ',` san francisco ',415-673-1155,vietnamese,730,1,375
151,188,` caffe greco ',' 423 columbus ave. ',` san francisco ',415-397-6261,continental,723,1,376
215,190,` cha cha cha \ 's ',' 1805 haight st. ',` san francisco ',415-386-5758,caribbean,725,1,377
66,30,` johnny rockets ( la ) ',' 7507 melrose ave. ',la,213-651-3361,american,564,1,378
211,193,` dusit thai ',' 3221 mission st. ',` san francisco ',415-826-4639,thai,728,1,379
134,4,` benita \ 's frites ',' 1433 third st. promenade ',` santa monica ',310-458-2889,` fast food ',538,1,380
59,170,` morton \ 's of chicago ( atlanta ) ',' 303 peachtree st. ne ',atlanta,404-577-4366,steakhouses,704,1,381
147,137,` steakhouse the ',' 128 e. fremont st. ',` las vegas ',702-382-1600,steakhouses,671,1,382
194,115,` thailand restaurant ',' 106 bayard st. ',` new york city ',212-349-3132,thai,649,1,383
175,129,` mayflower cuisinier ',' 4750 w. sahara ave. ',` las vegas ',702-870-8432,chinese,663,1,384
227,47,` ocean park cafe ',' 3117 ocean park blvd. ',` santa monica ',310-452-5728,american,581,1,385
61,209,` san francisco bbq ',' 1328 18th st. ',` san francisco ',415-431-8956,thai,744,1,386
120,198,` kelly \ 's on trinity ',' 333 bush st. ',` san francisco ',415-362-4454,californian,733,1,387
223,178,` silver skillet the ',' 200 14th st. nw ',atlanta,404-874-1388,` coffee shops ',713,1,388
231,13,` cassell \ 's ',' 3266 w. sixth st. ',la,213-480-8668,hamburgers,547,1,389
97,131,` monte carlo ',' 3145 las vegas blvd. s. ',` las vegas ',702-733-4524,` french ( new ) ',665,1,390
188,192,` dottie \ 's true blue cafe ',' 522 jones st. ',` san francisco ',415-885-2767,diners,727,1,391
148,106,` sarabeth \ 's ',' 1295 madison ave. ',` new york city ',212-410-7335,american,640,1,392
64,45,` mo better meatty meat ',' 7261 melrose ave. ',la,213-935-5280,hamburgers,579,1,393
198,74,` cucina di pesce ','87 e. fourth st. ',` new york city ',212-260-6800,seafood,608,1,394
205,82,` jackson diner ',' 37-03 74th st. ',queens,718-672-1232,indian,616,1,395
95,125,'em eril \ 's new orleans fish house ',' 3799 las vegas blvd. s. ',` las vegas ',702-891-7374,seafood,659,1,396
109,88,` la caridad ',' 2199 broadway ',` new york city ',212-874-2780,cuban,622,1,397
144,33,` koo koo roo ',' 8393 w. beverly blvd. ',la,213-655-9045,chicken,567,1,398
98,159,` greenwood \ 's ',' 1087 green st. ',roswell,770-992-5383,southern/soul,693,1,399
34,93,menchanko-tei,'39 w. 55th st. ',` new york city ',212-247-1585,japanese,627,1,400
72,207,` roosevelt tamale parlor ',' 2817 24th st. ',` san francisco ',415-550-9213,mexican,742,1,401
111,103,` peter luger steak house ',' 178 broadway ',brooklyn,718-387-7400,steakhouses,637,1,402
164,211,` swan oyster depot ',' 1517 polk st. ',` san francisco ',415-673-1101,seafood,746,1,403
168,91,` lombardi \ 's ','32 spring st. ',` new york city ',212-941-7994,pizza,625,1,404
185,145,` bistro the ','56 e. andrews dr. nw ',atlanta,404-231-5733,` french bistro ',679,1,405
209,3,` belvedere the ',' 9882 little santa monica blvd. ',` beverly hills ',310-788-2306,` pacific new wave ',537,1,406
171,5,` bernard \ 's ',' 515 s. olive st. ',` los angeles ',213-612-1580,continental,539,1,407
173,102,` patsy \ 's pizza ','19 old fulton st. ',brooklyn,718-858-4300,pizza,636,1,408
6,172,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,1,409
128,201,` la taqueria ',' 2889 mission st. ',` san francisco ',415-285-7117,mexican,736,1,410
190,95,` monsoon ( ny ) ',' 435 amsterdam ave. ',` new york city ',212-580-8686,thai,629,1,411
93,128,` madame ching \ 's ',' 3300 las vegas blvd. s. ',` las vegas ',702-894-7111,asian,662,1,412
200,285,` chin \ 's ',' 3200 las vegas blvd. s. ',` las vegas ',702-733-8899,chinese,67,1,413
110,80,` gray \ 's papaya ',' 2090 broadway ',` new york city ',212-799-0243,` hot dogs ',614,1,414
143,23,` jan \ 's family restaurant ',' 8424 beverly blvd. ',la,213-651-2866,` coffee shops ',557,1,415
51,169,majestic,' 1031 ponce de leon ave. ',atlanta,404-875-0276,diners,703,1,416
17,69,arcadia,'21 e. 62nd st. ',` new york city ',212-223-2900,` american ( new ) ',603,1,417
79,55,` rae \ 's ',' 2901 pico blvd. ',` santa monica ',310-828-7937,diners,589,1,418
3,307,` ritz-carlton cafe ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',89,1,419
52,164,` java jive ',' 790 ponce de leon ave. ',atlanta,404-876-6161,` coffee shops ',698,1,420
121,41,` martha \ 's ',' 22nd street grill 25 22nd ',` st. hermosa beach ',310-376-7786,american,575,1,421
222,133,` morton \ 's of chicago ( las vegas ) ',' 3200 las vegas blvd. s. ',` las vegas ',702-893-0703,steakhouses,667,1,422
