#key=_id,,,,,,,,,
#rtable=POINTER,,,,,,,,,
#foreign_key_ltable=ltable._id,,,,,,,,,
#foreign_key_rtable=rtable._id,,,,,,,,,
#ltable=POINTER,,,,,,,,,
_id,ltable._id,rtable._id,ltable.NAME,ltable.PHONENUMBER,ltable.ADDRESS,rtable.NAME,rtable.PHONENUMBER,rtable.ADDRESS,gold
2,4,12,15 Romolo,(415) 398-1359,"15 Romolo Place, San Francisco, CA",15 Romolo,(415) 398-1359,"15 Romolo Pl, San Francisco, CA 94133",1
278,18,4537,456 Shanghai Cuisine,1261,"69 Mott Street, New York, NY",Shanghai Asian Manor,(212) 766-6311,"21 Mott St, New York, NY 10013",0
334,21,1421,5A5 Steak Lounge,(415) 989-2539,"244 Jackson Street, San Francisco, CA",Delicious Dim Sum,(415) 781-0721,"752 Jackson St, San Francisco, CA 94133",0
474,29,2118,9th Street Pizza,(213) 627-7798,"231 E 9th St, Los Angeles, CA",Han Bat Sul Lung Tang,(213) 383-9499,"4163 W 5th St, Los Angeles, CA 90020",0
491,29,2554,9th Street Pizza,(213) 627-7798,"231 E 9th St, Los Angeles, CA",Jun Won Restaurant,(213) 383-8855,"3100 W 8th St, Los Angeles, CA 90005",0
523,29,3221,9th Street Pizza,(213) 627-7798,"231 E 9th St, Los Angeles, CA",Men Oh Tokushima Ramen,(213) 687-8485,"456 E 2nd St, Los Angeles, CA 90012",0
584,29,4679,9th Street Pizza,(213) 627-7798,"231 E 9th St, Los Angeles, CA",Spear Steak & Seafood House,(213) 688-3000,"800 W 6th St, Los Angeles, CA 90017",0
643,29,5824,9th Street Pizza,(213) 627-7798,"231 E 9th St, Los Angeles, CA",Yang Ban Sul Lung Tang Restaurant,(213) 489-4640,"716 E 9th Pl, Los Angeles, CA 90021",0
773,39,250,ABC Seafood,(213) 680-2887,"205 Ord St, Los Angeles, CA",AOC,(310) 859-9859,"8700 W 3rd St, Los Angeles, CA 90048",0
780,39,423,ABC Seafood,(213) 680-2887,"205 Ord St, Los Angeles, CA",BAR Ama,(213) 687-8002,"118 W 4th St, Los Angeles, CA 90013",0
949,39,4679,ABC Seafood,(213) 680-2887,"205 Ord St, Los Angeles, CA",Spear Steak & Seafood House,(213) 688-3000,"800 W 6th St, Los Angeles, CA 90017",0
1013,41,94,Acquerello,(415) 567-5432,"1722 Sacramento Street, San Francisco, CA",Acquerello,(415) 567-5432,"1722 Sacramento St, San Francisco, CA 94109",1
1031,48,119,AJ Bombers,(608) 305-4474,"201 W Gorham St, Madison, WI",AJ Bombers,(608) 305-4474,"201 W Gorham St, Madison, WI 53703",1
1567,57,3913,Al's Place,(415) 416-6136,"1499 Valencia Street, San Francisco, CA",Pica Pica Arepa Kitchen,(415) 400-5453,"401 Valencia St, San Francisco, CA 94103",0
1580,64,137,Alcove Cafe & Bakery,(323) 644-0100,"1929 Hillhurst Ave, Los Angeles, CA",Alcove Caf & Bakery,(323) 644-0100,"1929 Hillhurst Ave, Los Angeles, CA 90027",1
1881,71,5625,Allende Restaurant,(773) 477-7114,"2408 N. Lincoln Avenue, Chicago, IL",Via Lima,(773) 348-4900,"4024 N Lincoln Ave, Chicago, IL 60618",0
1966,73,3826,Alta CA,(415) 590-2585,"1420 Market Street, San Francisco, CA",Pasta Moto,(415) 546-6686,"845 Market St, San Francisco, CA 94103",0
2768,99,219,Anella,(718) 389-8100,"222 Franklin Street, Brooklyn, NY",Anella,(718) 389-8100,"222 Franklin St, Brooklyn, NY 11222",1
2791,100,2249,Angel Cafe & Deli,(415) 931-3467,"700 Geary Street, San Francisco, CA",Hong Kong Lounge,(415) 668-8836,"5322 Geary Blvd, San Francisco, CA 94121",0
2792,100,2250,Angel Cafe & Deli,(415) 931-3467,"700 Geary Street, San Francisco, CA",Hong Kong Lounge II,(415) 668-8802,"3300 Geary Blvd, San Francisco, CA 94118",0
2949,105,1473,Anima Pizza & Pasta,(213) 738-0799,"698 S Vermont Ave, Los Angeles, CA",Dok Dok Chicken,(213) 351-9963,"401 S Vermont Ave, Los Angeles, CA 90020",0
3216,107,1685,Ann Sather,(773) 348-2378,"909 W. Belmont Avenue, Chicago, IL",Fahlstroms Fresh Fish Market,(773) 281-6000,"1258 W Belmont Ave, Chicago, IL 60657",0
3305,123,1038,Arby's,(608) 274-6205,"601 S Gammon Rd, Madison, WI",Chang Jiang,(608) 278-1818,"646 S Gammon Rd, Madison, WI 53719",0
3435,137,294,Aroma Bar and Grill,(323) 850-8120,"7373 W Sunset Blvd, Los Angeles, CA",Aroma Restaurant,(323) 644-2833,"2903 W Sunset Blvd, Los Angeles, CA 90026",0
4168,151,319,Asiento,(415) 829-3375,"2730 21st Street, San Francisco, CA",Asiento,(415) 829-3375,"2730 21st St, San Francisco, CA 94110",1
4207,153,2245,Athens Gyros,(608) 246-7733,"1860 E Washington Ave, Madison, WI",Hong Kong Buffet,(608) 240-0762,"2817 E Washington Ave, Madison, WI 53704",0
4709,161,5843,Atomic Wings,(212) 760-9090,"528 9th Avenue, New York, NY, NY",Yum Yum Bangkok,(212) 262-7244,"650 9th Ave, New York, NY 10036",0
4744,171,354,Avec,(312) 377-2002,"615 W. Randolph Street, Chicago, IL",Avec,(312) 377-2002,"615 W Randolph St, Chicago, IL 60661",1
4872,185,380,Babes Madison,(608) 274-7300,"5614 Schroeder Rd, Madison, WI",Babes Grill & Bar,(608) 274-7300,"5614 Schroeder Rd, Madison, WI 53711",1
5263,187,974,Baby Blues BBQ,(415) 896-4250,"3149 Mission Street, San Francisco, CA",Old Bus Taver,(415) 843-1938,"3193 Mission St, San Francisco, CA 94110",0
5324,187,5124,Baby Blues BBQ,(415) 896-4250,"3149 Mission Street, San Francisco, CA",The Crafty Fox Ale House,(415) 416-6602,"1700 Mission St, San Francisco, CA 94103",0
5395,200,4407,Bahn Thai Restaurant,(608) 256-0202,"944 Williamson St, Madison, WI",Lao Laan,(608) 280-0104,"1146 Williamson St, Madison, WI 53703",0
5404,200,5668,Bahn Thai Restaurant,(608) 256-0202,"944 Williamson St, Madison, WI",Wah Kee Wonton Noodle,(608) 255-5580,"600 Williamson St, Madison, WI 53703",0
5682,222,3930,Bar Pastoral,(773) 472-4781,"2947 N. Broadway Street, Chicago, IL",Ping Pong,(773) 281-7575,"3322 N Broadway St, Chicago, IL 60657",0
5718,225,443,Bari,(312) 666-0730,"1120 W. Grand Avenue, Chicago, IL",Bari,(312) 666-0730,"1120 W Grand Ave, Chicago, IL 60642",1
5720,225,2482,Bari,(312) 666-0730,"1120 W. Grand Avenue, Chicago, IL",Jeta Skin Care and Laser Center,(312) 226-1851,"1851 W Grand Ave, Chicago, IL 60622",0
5784,232,2245,Barriques Coffee,(608) 268-6264,"127 W Washington Ave, Madison, WI",Hong Kong Buffet,(608) 240-0762,"2817 E Washington Ave, Madison, WI 53704",0
5915,244,1912,Batter & Berries,(773) 248-7710,"2748 N. Lincoln Avenue, Chicago, IL",Gather,(773) 506-9300,"4539 N Lincoln Ave, Chicago, IL 60625",0
6365,248,1473,BBQ Chicken,(213) 739-1047,"698 S Vermont Ave # 101, Los Angeles, CA",Dok Dok Chicken,(213) 351-9963,"401 S Vermont Ave, Los Angeles, CA 90020",0
6501,248,3815,BBQ Chicken,(213) 739-1047,"698 S Vermont Ave # 101, Los Angeles, CA",Parks BBQ,(213) 380-1717,"955 S Vermont Ave, Los Angeles, CA 90006",0
6639,250,653,Bean & Bean,(212) 422-8083,"71 Broadway, New York, NY",Blue Fin,(212) 918-1400,"1567 Broadway, New York, NY 10036",0
6648,250,2264,Bean & Bean,(212) 422-8083,"71 Broadway, New York, NY",Hot Soup Cart,1445980000000,"51st St & Broadway, New York, NY 10019",0
6654,250,3518,Bean & Bean,(212) 422-8083,"71 Broadway, New York, NY",New Wong Rest,(646) 878-9474,"103 E Broadway, New York, NY 10002",0
6670,250,5462,Bean & Bean,(212) 422-8083,"71 Broadway, New York, NY",Toys R Us,(646) 366-8800,"1514 Broadway, New York, NY 10036",0
7322,264,5059,Bel Ami Restaurant,(773) 878-2808,"5530 N. Lincoln Avenue, Chicago, IL",The Bad Apple,(773) 360-8406,"4300 N Lincoln Ave, Chicago, IL 60618",0
8699,334,641,Blowin' Smoke Barbeque,(608) 215-0069,"1336 Montondon Avenue, Waunakee, WI",Blowin' Smoke BBQ,(608) 215-0069,"1336 Montondon Ave, Waunakee, WI 53597",1
8700,334,642,Blowin' Smoke Barbeque,(608) 215-0069,"1336 Montondon Avenue, Waunakee, WI",Blowin' Smoke BBQ,(608) 215-0069,"1336 Montondon Ave, Waunakee, WI 53597",1
8702,335,159,Blu Jam Cafe,(323) 951-9191,"7371 Melrose Ave, Los Angeles, CA",All About the Bread,(323) 930-8989,"7111 Melrose Ave, Los Angeles, CA 90046",0
9037,346,4399,Blue Velvet Lounge,(608) 250-9900,"430 W Gilman St, Madison, WI",Sake Lounge,(608) 467-7770,"406 W Gilman St, Madison, WI 53703",0
9085,356,673,Bocadillos,(415) 982-2622,"710 Montgomery Street, San Francisco, CA",Bocadillos,(415) 982-2622,"710 Montgomery St, San Francisco, CA 94111",1
9126,361,1321,Bom Bolla,(773) 698-6601,"1501 N. Milwaukee Avenue, Chicago, IL",Crossroads Trading Co.,(773) 227-5300,"1519 N Milwaukee Ave, Chicago, IL 60622",0
9147,361,4316,Bom Bolla,(773) 698-6601,"1501 N. Milwaukee Avenue, Chicago, IL",Uncharted Book,1445980000000,"2630 N Milwaukee Ave, Chicago, IL 60647",0
9163,364,688,Bonfyre American Grille,(608) 273-3973,"2601 West Beltline Highway, Madison, WI",Bonfyre American Grille,(608) 273-3973,"2601 W Beltline Hwy, Madison, WI 53713",1
10371,383,4056,BRGRBELLY,(773) 775-6650,"5691 N. Milwaukee Avenue, Chicago, IL",Pot Pan,(773) 862-6990,"1362 N Milwaukee Ave, Chicago, IL 60642",0
10449,388,5089,Brink Lounge,(608) 661-8599,"701 E Washington Ave, Madison, WI",The Brass Ring,(608) 256-9359,"701 E Washington Ave, Madison, WI 53703",0
10515,392,1989,Brocach Irish Pub,(608) 255-2015,"7 W Main St, Madison, WI",Good Food,(608) 217-5227,"33 E Main St, Madison, WI 53703",0
10592,404,788,Buck & Honey's,(608) 837-3131,"804 Liberty Boulevard, Sun Prairie, WI",Buck & Honey's,(608) 837-3131,"804 Liberty Blvd, Sun Prairie, WI 53590",1
10605,405,2251,Buckingham's Madison,(608) 251-4744,"802 Regent St, Madison, WI",Hong Kong Station,(608) 661-8288,"1441 Regent St, Madison, WI 53711",0
11040,426,819,Burma Love,(415) 861-2100,"211 Valencia Street, San Francisco, CA",Burma Love,(415) 861-2100,"211 Valencia St, San Francisco, CA 94103",1
11433,440,2820,Cafe Costa Rica,(608) 256-9830,"1133 Williamson St, Madison, WI",Lao Laan,(608) 280-0104,"1146 Williamson St, Madison, WI 53703",0
11777,454,905,Cafe Tallulah,(212) 209-1055,"240 Columbus Avenue, New York, NY",Cafe Tallulah,(212) 209-1055,"240 Columbus Ave, New York, NY 10023",1
11837,459,2818,Cafe Zoma,(608) 246-2009,"2326 Atwood Ave, Madison, WI",Lao Laan,(608) 819-0140,"2098 Atwood Ave, Madison, WI 53704",0
12821,485,957,Capriotti's Sandwich Shop,(608) 255-2227,"902 Regent St, Madison, WI",Capriotti's Sandwich Shop,(608) 255-2227,"902 Regent St, Madison, WI 53715",1
12828,485,2251,Capriotti's Sandwich Shop,(608) 255-2227,"902 Regent St, Madison, WI",Hong Kong Station,(608) 661-8288,"1441 Regent St, Madison, WI 53711",0
12989,496,1667,Carmine's,(212) 221-3800,"200 W 44th Street, New York, NY",Etcetera Etcetera,(212) 399-4141,"352 W 44th St, New York, NY 10036",0
13500,503,129,Casa DE Lara,(608) 251-7200,"341 State St Ste 2, Madison, WI",Alan Koa Salon & Spa,(608) 284-1956,"202 State St, Madison, WI 53703",0
13502,503,670,Casa DE Lara,(608) 251-7200,"341 State St Ste 2, Madison, WI",Blum's Trophies LLC,(608) 256-8296,"130 State St, Madison, WI 53703",0
13506,503,949,Casa DE Lara,(608) 251-7200,"341 State St Ste 2, Madison, WI",Capital Tap Haus,(608) 310-1010,"107 State St, Madison, WI 53703",0
13507,503,985,Casa DE Lara,(608) 251-7200,"341 State St Ste 2, Madison, WI",Casa de Lara,(608) 251-7200,"341 State St, Madison, WI 53703",1
13544,503,2591,Casa DE Lara,(608) 251-7200,"341 State St Ste 2, Madison, WI",Karen & Co,(608) 258-5500,"309 State St, Madison, WI 53703",0
13552,503,3057,Casa DE Lara,(608) 251-7200,"341 State St Ste 2, Madison, WI",Mad City Frites,(608) 204-6150,"320 State St, Madison, WI 53703",0
13572,503,3956,Casa DE Lara,(608) 251-7200,"341 State St Ste 2, Madison, WI",Pizza Di Roma,(608) 268-0900,"313 State St, Madison, WI 53703",0
13573,503,3965,Casa DE Lara,(608) 251-7200,"341 State St Ste 2, Madison, WI",Pizza Hut,(662) 782-8378,"662 State St, Madison, WI 53703",0
13598,503,5509,Casa DE Lara,(608) 251-7200,"341 State St Ste 2, Madison, WI",Tutto Pasta State Street,(608) 960-9980,"305 State St, Madison, WI 53703",0
13610,505,986,Casa Del Sol,(608) 663-8818,"3040 Cahill Main, Fitchburg, WI",Casa Del Sol,(608) 663-8818,"3040 Cahill Main, Fitchburg, WI 53711",1
13660,509,993,Casellula Cheese and Wine Cafe,(212) 247-8137,"401 W 52nd Street, New York, NY",Casellula,(212) 247-8137,"401 W 52nd St, New York, NY 10019",1
14318,512,2554,Cassell's Hamburgers,(213) 387-5502,"3600 W 6th St, Los Angeles, CA",Jun Won Restaurant,(213) 383-8855,"3100 W 8th St, Los Angeles, CA 90005",0
14449,512,4636,Cassell's Hamburgers,(213) 387-5502,"3600 W 6th St, Los Angeles, CA",Son of a Gun,(323) 782-9033,"8370 W 3rd St, Los Angeles, CA 90048",0
14452,512,4679,Cassell's Hamburgers,(213) 387-5502,"3600 W 6th St, Los Angeles, CA",Spear Steak & Seafood House,(213) 688-3000,"800 W 6th St, Los Angeles, CA 90017",0
14460,512,4825,Cassell's Hamburgers,(213) 387-5502,"3600 W 6th St, Los Angeles, CA",Sun Nong Dan,(213) 365-0303,"3470 W 6th St, Los Angeles, CA 90020",0
15175,522,1025,Cha Cha Cha,(323) 664-7723,"656 N Virgil Ave, Los Angeles, CA",Cha Cha Cha,(323) 664-7723,"656 N Virgil Ave, Los Angeles, CA 90004",1
15482,533,1526,Cheba Hut,(608) 819-8485,"453 W Gilman St, Madison, WI",Ear Wax Records,(608) 257-6402,"254 W Gilman St, Madison, WI 53703",0
16096,543,2820,Chez Nanou,(608) 283-4266,"805 Williamson St, Madison, WI",Lao Laan,(608) 280-0104,"1146 Williamson St, Madison, WI 53703",0
16101,543,3055,Chez Nanou,(608) 283-4266,"805 Williamson St, Madison, WI",Mad Cat Pet Supply,(608) 255-4450,"1012 Williamson St, Madison, WI 53703",0
16113,543,4254,Chez Nanou,(608) 283-4266,"805 Williamson St, Madison, WI",Rick's Olde Gold,(608) 257-7280,"1314 Williamson St Frnt, Madison, WI 53703",0
16116,543,4407,Chez Nanou,(608) 283-4266,"805 Williamson St, Madison, WI",Sali C.'s review of Lao Laan,(608) 280-0104,"1146 Williamson St, Madison, WI 53703",0
16147,550,1078,Chicago Curry House,(312) 362-9999,"899 S. Plymouth Court, Chicago, IL",Chicago Curry House,(312) 362-9999,"899 S Plymouth Ct, Chicago, IL 60605",1
16823,572,1111,China Kitchen,(608) 826-4432,"6606 Mineral Pt Rd, Madison, WI",China Kitchen,(608) 826-4432,"6608 Mineral Point Rd, Madison, WI 53705",1
16914,578,1125,Chipotle Mexican Grill,(608) 233-4305,"4000 University Ave, Madison, WI",Chipotle Mexican Grill,(608) 233-4305,"4000 University Ave, Madison, WI 53705",1
17011,582,129,Chocolate Shoppe Ice Cream,(608) 255-5454,"468 State St, Madison, WI",Alan Koa Salon & Spa,(608) 284-1956,"202 State St, Madison, WI 53703",0
17065,582,3468,Chocolate Shoppe Ice Cream,(608) 255-5454,"468 State St, Madison, WI",Naf Naf Grill,(608) 256-0071,"555 State St, Madison, WI 53703",0
17077,582,3945,Chocolate Shoppe Ice Cream,(608) 255-5454,"468 State St, Madison, WI",Pita Pit,(608) 819-6722,"449 State St, Madison, WI 53703",0
17084,582,4623,Chocolate Shoppe Ice Cream,(608) 255-5454,"468 State St, Madison, WI",Soga Shabu Shabu,(608) 819-6780,"508 State St, Madison, WI 53703",0
17110,582,5731,Chocolate Shoppe Ice Cream,(608) 255-5454,"468 State St, Madison, WI",Which Wich,(608) 709-1094,"411 State St, Madison, WI 53703",0
17347,589,411,Chop Stop,(424) 274-3500,"8717 Santa Monica Blvd, West Hollywood, CA",Bambou Le Pho,(323) 848-8881,"8351 Santa Monica Blvd, West Hollywood, CA 90069",0
17668,598,3902,Chutney,(415) 931-5541,"511 Jones Street, San Francisco, CA",Pho Tan Hoa,(415) 673-3163,"431 Jones St, San Francisco, CA 94102",0
18221,620,2584,Cocohodo Wilshire,(213) 382-8943,"3500 W 6th St, Los Angeles, CA",Kang Ho Dong Baekjeong,(213) 384-9678,"3465 W 6th St, Los Angeles, CA 90020",0
18222,620,2585,Cocohodo Wilshire,(213) 382-8943,"3500 W 6th St, Los Angeles, CA",Kang Ho Dong Baekjeong,(213) 384-9678,"3465 W 6th St, Los Angeles, CA 90020",0
18772,623,4685,Coffee Bean & Tea Leaf,(310) 557-8435,"10250 Santa Monica Blvd, Los Angeles, CA",Spicy BBQ Restaurant,(323) 663-4211,"5101 Santa Monica Blvd, Los Angeles, CA 90029",0
18902,628,2249,Colibri Mexican Bistro,(415) 440-2737,"438 Geary Street, San Francisco, CA",Hong Kong Lounge,(415) 668-8836,"5322 Geary Blvd, San Francisco, CA 94121",0
18946,632,2982,Commissary,(415) 561-3663,"101 Montgomery Street, San Francisco, CA",Lost Coast Outfitters,(415) 483-2278,"550 Montgomery St, San Francisco, CA 94111",0
20090,663,1319,Crossroads Cafe,(608) 262-5038,"1000 Bascom Mall, Madison, WI",Crossroads Cafe,(608) 262-5038,"1000 Bascom Mall, Madison, WI 53706",1
20258,680,3468,Curd Girl,(608) 555-5555,"100 State St, Madison, WI",Naf Naf Grill,(608) 256-0071,"555 State St, Madison, WI 53703",0
20598,703,1371,Dairyland Family Restaurant,(608) 222-9232,"716 Cottage Grove Rd, Madison, WI",Dairyland Family Restaurant,(608) 222-9232,"716 Cottage Grove Rd, Madison, WI 53716",1
21007,727,1415,Delarosa,(415) 673-7100,"2175 Chestnut Street, San Francisco, CA",Delarosa,(415) 673-7100,"2175 Chestnut St, San Francisco, CA 94123",1
21232,737,3156,Desi Deli,(212) 399-9007,"724 10th Avenue, New York, NY",Marquee New York,(646) 473-0202,"289 10th Ave, New York, NY 10001",0
21234,737,3933,Desi Deli,(212) 399-9007,"724 10th Avenue, New York, NY",Pio Pio,(212) 459-2929,"604 10th Ave, New York, NY 10036",0
21245,737,5743,Desi Deli,(212) 399-9007,"724 10th Avenue, New York, NY",White Oak Oyster Bar & Cocktail Lounge,(646) 692-9347,"818 10th Ave, New York, NY 10019",0
21732,757,1464,Dlux,(608) 467-3130,"117 Martin Luther King Blvd, Madison, WI",DLUX,(608) 467-3130,"117 Martin Luther King Jr Blvd, Madison, WI 53703",1
21858,775,340,Dong Il Jang,(213) 383-5757,"3455 W 8th St, Los Angeles, CA",Au Lac DTLA,(213) 617-2533,"710 W 1st St, Los Angeles, CA 90012",0
21912,775,1381,Dong Il Jang,(213) 383-5757,"3455 W 8th St, Los Angeles, CA",Danger Dogs,1445980000000,"415 W 8th St, Los Angeles, CA 90006",0
21916,775,1486,Dong Il Jang,(213) 383-5757,"3455 W 8th St, Los Angeles, CA",Dong II Jang Restaurant,(213) 383-5757,"3455 W 8th St, Los Angeles, CA 90005",1
21955,775,2101,Dong Il Jang,(213) 383-5757,"3455 W 8th St, Los Angeles, CA",Hae Jang Chon Korean BBQ Restaurant,(213) 389-8777,"3821 W 6th St, Los Angeles, CA 90020",0
